"","ISO","lang.family.x","lang.genus.x","native.country.x","native.country.area.x","language.x","lang.family.y","lang.genus.y","native.country.y","native.country.area.y","language.y","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log"
"1026","bak","Altaic","Turkic","Russia","Eurasia","bashkir","Altaic","Turkic","Russia","Eurasia","bashkir",53,58,10438637,5635448,7,4.675,30.75,6.662,13.4582,3,6.27216
"1027","khk","Altaic","Mongolic","Mongolia","Asia","khalkha","Altaic","Mongolic","Mongolia","Asia","khalkha",47,105,53364424.5,3753261.5,14,-0.0482,22.911,26.754,14.7695,3.69135,6.36868
"1028","swb","Niger-Congo","Bantoid","Mayotte","Africa","comorian","Niger-Congo","Bantoid","Mayotte","Africa","comorian",-12,44,5812.5,168817,1,25.175,155.083,115.755,1.1936,10.5,5.54494
"1029","kum","Altaic","Turkic","Russia","Eurasia","kumyk","Altaic","Turkic","Russia","Eurasia","kumyk",43,47.33,367954,436451,10,10.3417,38.667,18.898,9.3221,7,5.4511
"1030","mhr","Uralic","Finnic","Russia","Eurasia","marimeadow","Uralic","Finnic","Russia","Eurasia","marimeadow",57,48,2897238,2521385,7,2.325,44.25,17.48,12.327,5,5.728
"1031","nog","Altaic","Turkic","Russia","Eurasia","noghay","Altaic","Turkic","Russia","Eurasia","noghay",44,46,268370,345123,6,NA,NA,NA,NA,NA,4.83127
"1032","bru","Austro-Asiatic","Katuic","Laos","Asia","brueastern","Austro-Asiatic","Katuic","Laos","Asia","brueastern",17.33,106,220766.333333333,334162.666666667,10.3333333333333,25.2417,184.583,176.54,4.286,11,5.11247
"1033","hal","Austro-Asiatic","Bahnaric","Viet Nam","Asia","halang","Austro-Asiatic","Bahnaric","Viet Nam","Asia","halang",14.5,107.5,38859,116187,8,NA,NA,NA,NA,NA,4.24304
"1034","jeh","Austro-Asiatic","Bahnaric","Viet Nam","Asia","jeh","Austro-Asiatic","Bahnaric","Viet Nam","Asia","jeh",15.17,107.83,122996.5,161198.5,8.5,NA,NA,NA,NA,NA,4.36654
"1035","puo","Austro-Asiatic","Palaung-Khmuic","Viet Nam","Asia","ksingmul","Austro-Asiatic","Palaung-Khmuic","Viet Nam","Asia","ksingmul",21.08,104,54216,192407,14,21.1,120.833,109.692,3.8688,6,4.30496
"1036","ktv","Austro-Asiatic","Katuic","Laos","Asia","katu","Austro-Asiatic","Katuic","Laos","Asia","katu",15.83,107.58,240175,272322,8.5,NA,NA,NA,NA,NA,4.70293
"1037","lbo","Austro-Asiatic","Bahnaric","Laos","Asia","loven","Austro-Asiatic","Bahnaric","Laos","Asia","loven",15,106.33,205671,231345,11,NA,NA,NA,NA,NA,4.60766
"1038","mra","Austro-Asiatic","Palaung-Khmuic","Thailand","Asia","mlabriminor","Austro-Asiatic","Palaung-Khmuic","Thailand","Asia","mlabriminor",18.5,101,24259.5,76358.5,8,NA,NA,NA,NA,NA,2.51055
"1039","oyb","Austro-Asiatic","Bahnaric","Laos","Asia","oi","Austro-Asiatic","Bahnaric","Laos","Asia","oi",14.83,107.17,30480,177507,9,NA,NA,NA,NA,NA,4.17455
