ISO,pho,con,son,obs,vow,mon,qua,ton,fam,genus,geoLat,geoLong,pop,logPop
aal,36,27,6,21,9,9,9,0,afas,Biu-Mandara,12:30,14:40,31000,4.491361694
aau,14,9,5,4,5,5,5,0,sepr,Upper Sepik,-4:0,141:10:00,7270,3.861534411
abi,39,21,7,14,18,18,9,0,ncon,Kwa,5:40,0,50500,4.703291378
abt,24,17,12,5,7,7,6,0,sepr,Middle Sepik,0,143:05:00,44000,4.643452676
ace,55,21,8,13,34,17,10,0,anes,Malayic,4:00,97:30:00,3500000,6.544068044
acv,23,17,6,11,6,6,6,0,hoka,Palaihnihan,41:05:00,#VALUE!,16,1.204119983
ada,39,23,8,15,12,12,7,4,ncon,,6:40,0:05,8.00E+05,5.903089987
adj,31,21,8,13,7,7,7,3,ncon,Kwa,5:40,4:30,1.00E+05,5
adn,40,18,6,12,22,12,7,0,trng,Greater Alor,0,124:24:00,31800,4.50242712
adz,25,18,6,12,7,7,4,0,anes,Oceanic,,,28900,4.460897843
ael,51,38,17,21,10,10,10,3,ncon,,5:56,9:37,2600,3.414973348
aer,30,27,15,12,3,3,3,0,aust,Pama-Nyungan,#VALUE!,136:00:00,3820,3.582063363
aey,20,15,4,11,5,5,5,0,trng,Madang,0,145:40:00,5300,3.72427587
agm,21,12,7,5,9,7,5,0,trng,Angan,#VALUE!,146:20:00,2100,3.322219295
agq,35,25,8,17,10,10,10,0,ncon,Bantoid,6:39,10:00,26700,4.426511261
ags,37,29,11,18,8,8,8,0,ncon,,6:30,9:55,20000,4.301029996
ahg,39,28,8,20,7,7,7,4,afas,Central Cushitic,12:45,37:00:00,1650,3.217483944
ahk,41,28,6,22,13,13,10,0,sitb,Burmese-Lolo,21:10,101:30:00,2.00E+05,5.301029996
ahl,33,23,7,16,7,7,7,3,ncon,,6:40,0:40,6000,3.77815125
ahp,33,24,7,17,9,9,9,0,ncon,Kru,5:13,#VALUE!,6500,3.812913357
aht,35,30,5,25,5,5,5,0,nadn,Athapaskan,61:30:00,-145:0,35,1.544068044
ain,17,12,5,7,5,5,5,0,_ain,Ainu,43:00:00,143:00:00,15,1.176091259
ajg,45,28,8,20,12,12,7,5,ncon,Kwa,7:00,1:45,360000,5.556302501
aka,40,22,7,15,15,15,8,3,ncon,Kwa,6:30,0,8300000,6.919078092
ake,23,13,9,4,10,7,7,0,cari,Cariban,6:30,0,4500,3.653212514
akl,20,17,7,10,3,3,3,0,anes,Meso-Philippine,11:40,122:20:00,395000,5.596597096
akz,21,15,5,10,6,6,3,0,musk,Muskogean,30:45:00,#VALUE!,100,2
alc,19,16,6,10,3,3,3,0,alac,Alacalufan,#VALUE!,#VALUE!,12,1.079181246
ald,36,25,8,17,11,11,8,0,ncon,Kwa,5:13,#VALUE!,23000,4.361727836
ale,36,30,12,18,6,6,3,0,eska,Aleut,55:00:00,166:30:00,300,2.477121255
alh,28,23,17,6,5,5,4,0,aust,Maran,0,134:20:00,18,1.255272505
als,35,28,8,20,7,7,7,0,ieur,Albanian,41:00:00,20:00,2900000,6.462397998
aly,32,25,19,6,7,7,4,0,aust,Pama-Nyungan,#VALUE!,136:40:00,1450,3.161368002
amc,22,14,5,9,8,8,4,0,pano,Panoan,#VALUE!,-73:0,110,2.041392685
ame,29,23,8,15,6,6,3,0,arwk,Arawakan,#VALUE!,0,9830,3.992553518
amf,35,25,8,17,10,10,10,0,afas,South Omotic,5:10,36:30:00,42800,4.631443769
amh,59,52,12,40,7,7,7,0,afas,Semitic,12:00,38:00:00,17400000,7.240549248
amn,19,14,6,8,5,5,5,0,trng,Border,#VALUE!,141:10:00,4420,3.645422269
amo,35,25,8,17,10,10,10,0,ncon,Kainji,10:20,8:35,12300,4.089905111
amp,25,18,6,12,7,7,7,0,sepr,Sepik Hill,#VALUE!,143:15:00,1530,3.184691431
amu,37,25,12,13,12,12,7,0,otma,Amuzgoan,16:48,0,23000,4.361727836
anc,44,30,8,22,11,10,6,3,afas,West Chadic,9:30,9:30,4.00E+05,5.602059991
ann,37,22,9,13,12,12,6,3,ncon,Cross River,4:40,7:45,2.00E+05,5.301029996
ano,26,11,1,10,15,15,9,0,_ano,Andoke,0:35,-72:0,370,2.568201724
ant,23,17,12,5,6,6,3,0,aust,,#VALUE!,134:30:00,50,1.698970004
anu,47,19,9,10,24,20,10,4,nsah,Nilotic,7:30,34:30:00,52000,4.716003344
anv,30,22,7,15,8,8,8,0,ncon,,6:00,9:25,11200,4.049218023
aoj,22,17,4,13,5,5,5,0,torr,Kombio-Arapesh,#VALUE!,143:00:00,11000,4.041392685
aon,22,15,4,11,7,7,7,0,torr,,#VALUE!,142:50:00,4340,3.63748973
apd,62,54,13,41,8,8,3,0,afas,,,,1.50E+07,7.176091259
apj,56,34,4,30,19,19,7,3,nadn,Athapaskan,36:50:00,-107:0,680,2.832508913
apm,47,31,8,23,16,16,4,0,nadn,Athapaskan,33:15:00,0,1800,3.255272505
apn,49,14,5,9,35,35,11,0,macg,Ge-Kaingang,-6:0,#VALUE!,1260,3.100370545
apq,24,16,10,6,8,8,8,0,anda,Great Andamanese,12:00,92:40:00,10,1
apu,40,14,6,8,26,20,5,0,arwk,Arawakan,#VALUE!,0,4087,3.611404638
aqc,91,81,32,49,10,10,10,0,ncau,Lezgic,42:15:00,46:55:00,1200,3.079181246
are,29,26,20,6,3,3,3,0,aust,Pama-Nyungan,#VALUE!,133:45:00,1000,3
arg,45,33,21,12,12,5,5,0,ieur,,42:30:00,0:10,11000,4.041392685
arh,32,16,3,13,16,7,7,0,chib,Aruak,10:40,0,14800,4.170261715
arl,18,11,7,4,7,5,5,0,zapa,Zaparoan,-2:0,-75:0,50,1.698970004
arn,26,20,11,9,6,6,6,0,arcn,Araucanian,-39:0,-71:0,2.00E+05,5.301029996
arr,27,14,6,8,11,11,7,2,tupi,Ramarama,#VALUE!,#VALUE!,170,2.230448921
ary,78,74,19,55,4,4,3,0,afas,Semitic,32:30:00,#VALUE!,18800000,7.274157849
arz,67,58,12,46,9,9,4,0,afas,Semitic,31:00:00,31:00:00,52500000,7.720159303
atb,32,21,7,14,8,5,5,3,sitb,,24:13:00,98:14:00,80000,4.903089987
aty,26,21,9,12,5,5,5,0,anes,Oceanic,#VALUE!,169:50:00,900,2.954242509
auc,21,11,5,6,10,10,5,0,_auc,Waorani,-1:0,0,1650,3.217483944
auy,20,11,7,4,6,6,5,3,trng,Eastern Highlands,#VALUE!,145:45:00,11100,4.045322979
ava,49,44,20,24,5,5,5,0,ncau,Avar-Andic-Tsezic,43:20:00,47:00:00,744000,5.871572936
avt,17,10,5,5,7,7,6,0,torr,Wapei-Palei,#VALUE!,142:05:00,8000,3.903089987
avu,55,37,17,20,14,14,7,4,nsah,Moru-Madi,4:55,30:00:00,40000,4.602059991
awn,39,28,8,20,7,7,7,4,afas,Central Cushitic,10:50,36:40:00,5.00E+05,5.698970004
awx,25,19,6,13,6,6,6,0,trng,,#VALUE!,146:20:00,1870,3.271841607
ayl,50,34,9,25,16,8,8,0,afas,Semitic,29:00:00,28:00:00,4.00E+06,6.602059991
ayr,42,36,9,27,6,6,3,0,ayma,Aymaran,#VALUE!,-70:0,1790000,6.252853031
ayz,16,11,5,6,5,5,5,0,wpap,North-Central Birds Head,#VALUE!,132:40:00,20000,4.301029996
azb,34,25,4,21,9,9,9,0,altc,Turkic,35:50:00,44:15:00,11200000,7.049218023
azo,56,39,17,22,17,17,9,0,ncon,,5:52,10:17,19000,4.278753601
bak,38,27,7,20,11,11,11,0,altc,Turkic,55:00:00,55:00:00,1380000,6.139879086
bam,35,21,8,13,14,14,7,0,ncon,Western Mande,10:05,#VALUE!,2700000,6.431363764
bao,25,11,3,8,12,12,6,2,tucn,Tucanoan,0:25,#VALUE!,600,2.77815125
bas,41,29,15,14,7,7,7,5,ncon,Bantoid,4:00,10:30,230000,5.361727836
bav,82,56,34,22,17,17,9,9,ncon,Bantoid,6:07,10:25,27000,4.431363764
bax,38,28,9,19,10,10,10,0,ncon,Bantoid,5:40,10:50,215000,5.33243846
bba,30,18,6,12,12,12,7,0,ncon,Gur,10:20,2:30,460000,5.662757832
bbc,27,18,7,11,9,9,9,0,anes,Sumatra,2:30,99:30:00,2.00E+06,6.301029996
bbk,33,26,7,19,7,7,7,0,ncon,,6:05,10:19,22500,4.352182518
bbl,45,35,5,30,10,10,5,0,ncau,Nakh,42:30:00,45:30:00,3420,3.534026106
bbo,33,21,8,13,12,12,7,0,ncon,Western Mande,12:20,#VALUE!,35000,4.544068044
bbw,30,23,9,14,7,7,7,0,ncon,,6:07,10:31,24500,4.389166084
bbx,39,25,12,13,14,14,7,0,ncon,,4:00`N,9:15,600,2.77815125
bby,59,43,12,31,14,14,8,2,ncon,,6:20,10:00,2980,3.474216264
bca,29,18,8,10,11,11,11,0,sitb,Bai,,,8.00E+05,5.903089987
bce,50,39,15,24,11,11,11,0,ncon,,5:45,10:20,4000,3.602059991
bch,17,12,5,7,5,5,5,0,anes,,#VALUE!,148:45:00,1380,3.139879086
bci,23,16,4,12,7,7,7,0,ncon,Kwa,7:00,-5:0,2130000,6.328379603
bcj,24,17,12,5,7,7,4,0,aust,Nyulnyulan,#VALUE!,123:00:00,380,2.579783597
bcs,38,28,8,20,10,10,10,0,ncon,Cross River,5:55,8:00,30000,4.477121255
bdl,32,26,18,8,6,6,6,0,anes,Sama-Bajaw,#VALUE!,123:00:00,150000,5.176091259
bdr,23,17,8,9,6,6,6,0,anes,Sama-Bajaw,4:30,116:00:00,55000,4.740362689
bdu,29,22,13,9,7,7,7,0,ncon,Bantoid,4:48,9:18,106000,5.025305865
bdy,16,12,8,4,4,4,4,0,aust,Pama-Nyungan,#VALUE!,153:00:00,10,1
beh,27,14,6,8,10,10,6,3,ncon,,11:20,1:10,64500,4.809559715
bej,26,21,6,15,5,5,5,0,afas,Beja,19:00,36:00:00,951000,5.978180517
bem,25,15,7,8,10,10,5,0,ncon,,-10:0,31:00:00,3300000,6.51851394
ben,53,36,13,23,17,17,10,0,ieur,Indic,24:00:00,90:00:00,1.10E+08,8.041392685
beq,41,19,6,13,20,20,5,2,ncon,Bantoid,-4:0,14:00,3200,3.505149978
bev,37,24,9,15,13,13,13,0,ncon,Kru,6:50,#VALUE!,130000,5.113943352
bex,49,31,15,16,18,18,9,0,nsah,Bongo-Bagirmi,6:00,30:00:00,1.00E+05,5
bfd,49,21,7,14,18,18,9,10,ncon,Bantoid,6:10,10:10,105000,5.021189299
bfl,45,32,14,18,8,8,8,5,ncon,,8:00,22:00,35500,4.550228353
bfm,41,27,7,20,9,9,9,5,ncon,,6:20,10:15,35000,4.544068044
bfw,27,21,9,12,6,6,6,0,ausa,Munda,18:00,82:00:00,9000,3.954242509
bgj,40,27,7,20,9,9,9,4,ncon,,6:00,10:40,13500,4.130333768
bgo,25,17,8,9,8,8,8,0,ncon,,9:55,#VALUE!,5000,3.698970004
bhg,35,11,4,7,24,10,5,0,trng,Binanderean,#VALUE!,147:55:00,7000,3.84509804
bhw,24,14,6,8,10,10,5,0,anes,South Halmahera - West New Guinea,-1:0,136:00:00,30000,4.477121255
bhy,28,19,6,13,7,7,7,2,ncon,,0:15,28:30:00,15000,4.176091259
bib,24,18,8,10,6,6,6,0,ncon,Eastern Mande,11:30,0:30,350000,5.544068044
bim,44,22,9,13,18,18,6,4,ncon,Gur,10:30,0:00,120000,5.079181246
bin,48,25,9,16,21,21,7,2,ncon,Edoid,6:20,6:00,1.00E+06,6
biw,55,28,17,11,23,16,9,4,ncon,,3:40,12:45,12000,4.079181246
bjr,16,11,5,6,5,5,3,0,trng,Eastern Highlands,#VALUE!,146:05:00,360,2.556302501
bjz,24,14,4,10,10,10,5,0,trng,,,,2230,3.348304863
bkc,38,25,11,14,7,7,7,6,ncon,Ubangi,2:30,15:30,40000,4.602059991
bkh,33,26,13,13,7,7,7,0,ncon,,3:30,10:00,50000,4.698970004
bkk,41,31,5,26,10,10,5,0,ieur,Indic,35:20:00,76:30:00,10000,4
bkm,75,59,30,29,9,9,9,7,ncon,Bantoid,6:15,10:20,233000,5.367355921
bkq,29,17,10,7,12,12,7,0,cari,Cariban,#VALUE!,#VALUE!,950,2.977723605
bkv,36,23,9,14,10,10,5,3,ncon,,6:45,8:55,1.00E+05,5
bla,25,13,5,8,12,12,7,0,algi,Algonquian,50:00:00,#VALUE!,4500,3.653212514
blb,41,16,6,10,25,5,5,0,epap,Bilua,#VALUE!,156:40:00,8740,3.941511433
blc,31,28,7,21,3,3,3,0,sali,Bella Coola,52:20:00,#VALUE!,20,1.301029996
blk,34,20,7,13,11,9,9,3,sitb,,12:05,98:56:00,560000,5.748188027
blr,40,24,12,12,14,14,14,2,ausa,,21:57,100:24:00,42000,4.62324929
bmo,57,34,16,18,18,18,10,5,ncon,,5:50,10:30,29000,4.462397998
bmr,28,22,5,17,6,6,6,0,wita,Boran,0:50,#VALUE!,150,2.176091259
bnm,31,20,10,10,8,8,8,3,ncon,,3:00,10:00,9000,3.954242509
bod,38,24,8,16,8,8,8,6,sitb,Bodic,30:00:00,91:00:00,1070000,6.029383778
bol,38,28,12,16,10,10,5,0,afas,West Chadic,11:30,11:00,1.00E+05,5
bom,29,22,7,15,7,7,7,0,ncon,Platoid,9:45,8:50,3.00E+05,5.477121255
bor,20,13,7,6,7,7,7,0,macg,Bororo,#VALUE!,-56:0,1020,3.008600172
bot,29,18,6,12,11,11,6,0,nsah,Bongo-Bagirmi,7:15,28:00:00,10100,4.004321374
bqc,34,19,5,14,12,12,7,3,ncon,Eastern Mande,10:30,3:25,70000,4.84509804
bqx,56,28,6,22,27,27,9,1,ncon,,10:50,5:45,15000,4.176091259
brb,31,22,8,14,9,9,9,0,ausa,Bahnaric,14:35,106:35:00,12800,4.10720997
bre,42,25,10,15,17,17,8,0,ieur,Celtic,48:00:00,#VALUE!,5.00E+05,5.698970004
brh,33,24,6,18,9,9,4,0,drav,Northern Dravidian,28:30:00,67:00:00,2.00E+06,6.301029996
brv,42,20,12,8,22,22,22,0,ausa,Katuic,15:35,105:30:00,20000,4.301029996
brx,21,15,6,9,6,6,6,0,sitb,Bodo-Garo,26:50:00,92:00:00,1540000,6.187520721
bsk,53,38,7,31,12,12,5,3,_bsk,Burushaski,36:30:00,74:30:00,87000,4.939519253
bsp,26,18,7,11,8,8,8,0,ncon,Southern Atlantic,10:30,#VALUE!,4000,3.602059991
bsq,36,22,5,17,7,7,7,7,ncon,,6:00,#VALUE!,403000,5.605305046
bss,44,22,11,11,18,18,8,4,ncon,,5:00,9:40,1.00E+05,5
btg,51,23,7,16,26,26,13,2,ncon,,6:00,-6:0,150000,5.176091259
btx,21,16,7,9,5,5,5,0,anes,Sumatra,3:00,98:10:00,6.00E+05,5.77815125
bud,30,21,9,12,6,6,4,3,ncon,Gur,10:05,0:30,1.00E+05,5
bul,49,37,9,28,12,12,6,0,ieur,Slavic,42:30:00,25:00:00,7990000,6.902546779
bum,36,24,12,12,7,7,7,5,ncon,Bantoid,2:55,10:55,858000,5.933487288
bvm,32,23,7,16,9,9,9,0,ncon,,6:00,10:30,31000,4.491361694
bvr,21,16,11,5,5,5,5,0,aust,Burarran,#VALUE!,134:15:00,700,2.84509804
bwi,37,25,9,16,12,4,4,0,arwk,Arawakan,2:45,-67:0,5460,3.737192643
bwo,25,16,7,9,6,6,6,3,afas,North Omotic,10:40,35:15:00,19900,4.298853076
bwq,38,19,6,13,19,19,7,0,ncon,Western Mande,11:30,#VALUE!,312000,5.494154594
bwt,47,27,7,20,16,16,8,4,ncon,,4:30,9:10,8400,3.924279286
bxk,30,20,12,8,10,10,5,0,ncon,Bantoid,0:40,34:30:00,565000,5.752048448
byv,25,16,6,10,9,9,9,0,ncon,,5:05,10:30,210000,5.322219295
byx,22,14,9,5,8,5,5,0,epap,Baining,#VALUE!,151:45:00,6350,3.802773725
bza,48,23,10,13,21,21,7,4,ncon,Western Mande,8:00,-4.0625,1.00E+05,5
bzd,27,18,11,7,9,9,5,0,chib,Talamanca,9:20,-83:0,11000,4.041392685
bzf,25,17,9,8,8,8,8,0,sepr,Middle Sepik,#VALUE!,143:30:00,31300,4.495544338
bzx,34,20,8,12,14,14,7,0,ncon,,13:55,#VALUE!,118000,5.071882007
cad,23,20,11,9,3,3,3,0,cadd,Caddoan,34:25:00,#VALUE!,25,1.397940009
cag,28,22,13,9,6,6,6,0,mgua,Matacoan,#VALUE!,#VALUE!,13700,4.136720567
cao,21,17,5,12,4,4,4,0,pano,Panoan,#VALUE!,#VALUE!,550,2.740362689
caq,25,16,9,7,9,9,9,0,ausa,Nicobarese,9:00,93:00:00,37000,4.568201724
car,28,16,6,10,12,12,6,0,cari,Cariban,8:30,64:00:00,4450,3.648360011
cas,38,26,7,19,12,12,5,0,_cas,Mosetenan,#VALUE!,-68:0,5320,3.725911632
cat,39,27,14,13,12,8,8,0,ieur,Romance,42:00:00,2:00,11200000,7.049218023
cav,24,20,7,13,4,4,4,0,taca,Tacanan,#VALUE!,#VALUE!,1180,3.071882007
cbi,28,24,9,15,4,4,4,0,barb,Barbacoan,0:40,-79:0,9500,3.977723605
cbn,50,26,15,11,24,18,18,0,ausa,Monic,16:15,101:25:00,1500,3.176091259
cbv,22,12,5,7,10,10,5,0,maku,Cacua-Nukak,1:10,#VALUE!,150,2.176091259
ccc,29,19,8,11,10,10,5,0,arwk,,#VALUE!,#VALUE!,2,0.301029996
cdm,24,18,7,11,6,6,6,0,sitb,Bodic,27:40:00,84:45:00,36800,4.565847819
cdo,21,14,9,5,7,7,7,0,sitb,Chinese,26:00:00,119:30:00,8820000,6.945468585
ces,38,25,7,18,13,10,5,0,ieur,Slavic,50:00:00,15:00,9250000,6.966141733
cha,36,30,11,19,6,6,6,0,anes,Chamorro,13:35,145:00:00,62500,4.795880017
che,44,32,6,26,12,12,6,0,ncau,Nakh,43:30:00,45:30:00,1330000,6.123851641
chf,37,25,7,18,12,12,6,0,maya,Mayan,18:10,#VALUE!,38000,4.579783597
cho,21,15,5,10,6,6,3,0,musk,Muskogean,35:30:00,#VALUE!,11400,4.056904851
chp,61,39,6,33,18,18,6,4,nadn,Athapaskan,58:00:00,-105:0,9030,3.95568775
chq,41,26,16,10,15,15,8,0,otma,Chinantecan,17:35,#VALUE!,8000,3.903089987
chr,17,11,5,6,6,6,5,0,iroq,Southern Iroquoian,35:00:00,-83:0,16400,4.214843848
chv,39,30,14,16,9,9,8,0,altc,Turkic,55:30:00,47:00:00,1640000,6.214843848
cic,25,16,5,11,9,9,3,0,musk,Muskogean,33:50:00,-97:0,1000,3
cja,35,24,8,16,9,9,9,2,anes,Malayic,12:00,105:20:00,290000,5.462397998
cjv,17,12,5,7,5,5,5,0,trng,Chimbu,#VALUE!,145:05:00,23100,4.36361198
cko,43,22,8,14,19,19,7,2,ncon,Kwa,10:25,0:30,66000,4.819543936
ckt,22,15,5,10,7,7,6,0,chka,Northern Chukotko-Kamchatkan,69:00:00,165:00:00,7740,3.888740961
cku,25,15,5,10,6,6,3,4,musk,Muskogean,30:30:00,-94:0,200,2.301029996
cle,35,28,9,19,7,7,7,0,otma,Chinantecan,17:20,#VALUE!,2000,3.301029996
cme,46,21,7,14,21,21,7,4,ncon,Gur,10:10,#VALUE!,61400,4.788168371
cmn,49,24,9,15,21,6,6,4,sitb,Chinese,34:00:00,110:00:00,8.40E+08,8.924279286
cnh,52,45,22,23,7,7,6,0,sitb,Kuki-Chin,22:40,93:40:00,1.00E+05,5
cni,21,17,6,11,4,4,4,0,arwk,Arawakan,-12:0,-74:0,26100,4.416640507
cof,25,16,6,10,9,9,5,0,barb,Barbacoan,0:15,#VALUE!,2300,3.361727836
cog,40,21,8,13,19,18,9,0,ausa,,12:15,102:50:00,5000,3.698970004
com,18,12,4,8,6,6,6,0,utaz,Numic,34:10:00,#VALUE!,200,2.301029996
con,35,30,11,19,5,5,5,0,chib,CofÃ¡n,0:10,-77:0,800,2.903089987
coo,42,37,11,26,5,5,5,0,sali,Central Salish,50:10:00,-125:0,400,2.602059991
cou,46,39,21,18,7,7,7,0,ncon,Northern Atlantic,12:40,#VALUE!,18400,4.264817823
cqd,56,46,24,22,10,6,6,0,hmom,Hmong-Mien,,,1400000,6.146128036
crd,47,41,13,28,6,6,6,0,sali,Interior Salish,47:20:00,-117:0,5,0.698970004
cro,23,10,2,8,10,10,5,3,siou,Siouan,45:20:00,-107:0,4280,3.631443769
crw,33,20,8,12,13,11,3,0,ausa,Bahnaric,10:55,107:15:00,22600,4.354108439
cso,39,18,5,13,14,14,7,7,otma,Chinantecan,17:50,#VALUE!,5800,3.763427994
ctd,26,21,6,15,5,5,5,0,sitb,Kuki-Chin,23:20,93:40:00,189000,5.276461804
ctp,25,16,9,7,9,9,5,0,otma,Zapotecan,16:15,#VALUE!,12000,4.079181246
ctu,26,20,5,15,6,6,6,0,maya,Mayan,17:40,-92:0,90000,4.954242509
cub,23,11,1,10,12,12,6,0,tucn,Tucanoan,1:30,#VALUE!,6650,3.822821645
cuv,29,27,10,17,2,2,2,0,afas,,10:40,14:00,5000,3.698970004
daa,28,21,11,10,7,7,7,0,afas,East Chadic,12:10,18:20,45000,4.653212514
daf,39,19,5,14,20,20,12,0,ncon,Eastern Mande,7:30,#VALUE!,8.00E+05,5.903089987
dag,37,26,10,16,9,9,4,2,ncon,Gur,9:30,0:30,8.00E+05,5.903089987
daj,30,24,9,15,6,6,6,0,nsah,Daju,12:15,25:00:00,80000,4.903089987
dal,59,54,18,36,5,5,5,0,afas,Southern Cushitic,2:10,40:25:00,400,2.602059991
dap,27,16,6,10,9,9,9,2,sitb,Tani,27:30:00,93:30:00,261000,5.416640507
dbj,23,17,7,10,6,6,6,0,anes,Northwest Malayo-Polynesian,5:15,118:50:00,5000,3.698970004
dbl,16,13,9,4,3,3,3,0,aust,Pama-Nyungan,#VALUE!,145:30:00,40,1.602059991
dbq,47,36,13,23,6,6,6,5,afas,Biu-Mandara,,,24000,4.380211242
deu,39,23,6,17,16,16,8,0,ieur,Germanic,52:00:00,10:00,75300000,7.876794976
dga,54,24,8,16,27,27,9,3,ncon,Gur,10:30,#VALUE!,7.00E+05,5.84509804
dgi,41,29,9,20,9,9,9,3,ncon,,11:00,-3:0,388000,5.588831726
dic,57,27,8,19,27,27,9,3,ncon,Kru,5:45,#VALUE!,93800,4.972202838
dih,34,25,10,15,9,9,5,0,hoka,Yuman,32:00:00,-116:0,220,2.342422681
dip,32,19,9,10,13,13,13,0,nsah,Nilotic,8:30,28:00:00,320000,5.505149978
diq,44,30,8,22,14,8,8,0,ieur,Iranian,,,1.00E+06,6
dje,40,20,8,12,16,16,5,4,nsah,Songhay,15:25,2:00,2350000,6.371067862
dni,24,12,7,5,12,7,7,0,trng,Dani,#VALUE!,139:00:00,20000,4.301029996
dob,24,19,6,13,5,5,5,0,anes,,#VALUE!,150:45:00,10000,4
doc,27,20,10,10,7,7,7,0,taik,Kam-Tai,26:00:00,108:30:00,463000,5.665580991
dop,37,17,8,9,20,20,10,0,ncon,,9:45,1:25,50000,4.698970004
dow,34,22,12,10,12,12,7,0,ncon,Adamawa,8:40,13:10,18000,4.255272505
dru,27,23,8,15,4,4,4,0,anes,Tsouic,22:50,120:50:00,10500,4.021189299
dta,29,22,9,13,7,7,7,0,altc,Mongolic,48:00:00,124:00:00,96100,4.982723388
dts,28,16,10,6,12,12,7,0,ncon,Dogon,,,50000,4.698970004
dua,33,21,11,10,7,7,7,5,ncon,Bantoid,4:10,9:25,87700,4.942999593
dug,49,42,16,26,5,5,5,2,ncon,,-4:0,39:15:00,247000,5.392696953
duj,23,20,13,7,3,3,3,0,aust,Pama-Nyungan,#VALUE!,136:00:00,3650,3.562292864
duo,20,15,6,9,5,5,5,0,anes,Northern Philippines,17:50,122:10:00,1200,3.079181246
dyo,29,19,8,11,10,10,10,0,ncon,Northern Atlantic,13:00,-16:0,340000,5.531478917
dyu,39,23,8,15,14,14,7,2,ncon,Western Mande,10:15,-5:0,1.00E+06,6
dzg,32,21,8,13,11,11,11,0,nsah,Western Saharan,17:00,18:00,331000,5.519827994
efi,20,13,6,7,7,7,7,0,ncon,Cross River,4:55,8:30,4.00E+05,5.602059991
ega,39,27,7,20,9,9,9,3,ncon,Kwa,,,2500,3.397940009
ego,42,30,9,21,7,7,7,5,ncon,,8:40,8:35,140000,5.146128036
ekg,15,10,4,6,5,5,5,0,trng,Wissel Lakes-Kemandoga,#VALUE!,136:00:00,1.00E+05,5
ekm,30,19,7,12,7,7,7,4,ncon,,4:30,11:10,6400,3.806179974
ekp,37,24,7,17,9,9,9,4,ncon,,5:00,6:30,30000,4.477121255
ell,26,21,5,16,5,5,5,0,ieur,Greek,40:00:00,22:00,10700000,7.029383778
ema,48,27,8,19,21,21,7,0,ncon,Edoid,7:05,6:00,1.00E+05,5
emk,36,20,7,13,14,14,7,2,ncon,Western Mande,10:00,-9:0,1890000,6.276461804
enb,36,13,8,5,20,20,10,3,nsah,,1:05,35:35:00,161000,5.206825876
eng,40,27,7,20,13,13,8,0,ieur,Germanic,53:00:00,-1:0,58100000,7.764176132
enn,33,20,6,14,10,10,10,3,ncon,Edoid,5:10,6:25,20000,4.301029996
erk,20,15,9,6,5,5,5,0,anes,Oceanic,#VALUE!,168:15:00,6000,3.77815125
esi,27,24,9,15,3,3,3,0,eska,Eskimo,70:00:00,-162:0,6420,3.807535028
ess,36,32,16,16,4,4,4,0,eska,Eskimo,63:30:00,-170:0,830,2.919078092
ets,36,26,7,19,7,7,7,3,ncon,Edoid,7:10,6:30,274000,5.437750563
etu,27,20,7,13,7,7,7,0,ncon,Bantoid,5:58,8:42,67300,4.828015064
eus,28,23,7,16,5,5,5,0,basq,Basque,43:00:00,-2:0,580000,5.763427994
eve,36,21,10,11,15,15,8,0,altc,Tungusic,69:20:00,128:00:00,7170,3.855519156
ewe,45,28,10,18,14,14,7,3,ncon,Kwa,6:30,0:30,2250000,6.352182518
ewo,34,26,13,13,8,8,8,0,ncon,Bantoid,4:00,12:00,578000,5.761927838
faa,21,11,5,6,10,10,5,0,trng,Fasu,#VALUE!,143:10:00,1200,3.079181246
fai,20,12,5,7,8,5,5,0,trng,,#VALUE!,141:40:00,4500,3.653212514
fan,41,25,13,12,16,16,8,0,ncon,,-1:0,11:25,297000,5.472756449
ffm,37,27,12,15,10,10,5,0,ncon,Northern Atlantic,16:00,-2:0,1.00E+06,6
fia,45,33,14,19,10,10,5,2,nsah,Nubian,21:00,30:00:00,295000,5.469822016
