"","ISO","lang.family","lang.genus","native.country","native.country.area","language","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log","morphological.complexity","complexity.bias","p.complexity.bias","mono.complexity.bias","open.complexity.bias","morphological.complexity.ld","propPresent","adjusted.complexity","ratio.L2.L1","scaled.LDT.ZM","scaled.LDT.H","scaled.LDT.TTR","stock","region","n.L1.speakers","n.L2.speakers","TTR.LDT","n.phonemes","n.consonants","n.vowels","n.sonorants","n.obstruents","n.monophthongs","n.qual.monophthongs","n.tones","mean.length","mean.dependency.length","information.density","syllable.rate","information.rate","mean.aoa","normalized.vowel.diversity","normalized.consonant.diversity","normalized.tone.diversity","normalized.phoneme.diversity","distance.from.origin"
"1829","akz","Muskogean","Muskogean","USA","North America","alabama",32.33,-87.42,13864,51487,4,18.975,143,34.306,6.5573,12,2,14,NA,NA,NA,NA,0,0.08333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,15,6,5,10,6,3,0,5.08333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1830","acv","Hokan","Palaihnihan","USA","North America","achumawi",41.5,-121,63103,325821,2,8.875,33.667,15.541,7.1244,3,1.69897,16,NA,NA,NA,NA,-1,0.16667,-0.16667,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,17,6,6,11,6,6,0,4.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1831","kjq","Keresan","Keresan","USA","North America","acoma",34.92,-107.58,201480,230469,3,11.4542,26.417,18.247,8.276,5,3.53033,17,NA,NA,NA,NA,-7,0.91667,-6.41669,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,39,12,10,29,5,5,0,NA,NA,NA,NA,NA,NA,-0.4846364,-0.7169629,1.86204304,0.220147906,18601.19
"1832","arp","Algic","Algonquian","USA","North America","arapaho",40,-103,509284,1698321,14,9.853,34.487,24.961,9.6838,5.5152,3.0162,14,NA,NA,NA,NA,0,0.08333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69354838709677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1833","aht","Na-Dene","Athapaskan","USA","North America","ahtna",62,-145,1281671,593922,3,-2.8792,24.458,12.214,12.8304,4,1.90309,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,30,5,5,25,5,5,0,NA,NA,NA,NA,NA,NA,-0.4846364,-1.5544112,-0.7687792,-0.935942272,14623.91
"1834","ari","Caddoan","Caddoan","USA","North America","arikara",45.5,-100.5,83429,250252,5,4.8042,36.583,24.363,12.7384,6,1.69897,14,NA,NA,NA,NA,0,0.08333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1835","aes","Oregon Coast","Alsea","USA","North America","alsea",44.67,-123.92,NA,NA,NA,10.5444,172.972,122.764,4.4366,8.8333,1.69897,13,NA,NA,NA,NA,0,0.08333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76923076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1836","apm","Na-Dene","Athapaskan","USA","North America","apachechiricahua",33.25,-108,152924,889753,6,9.4639,28.708,22.309,7.4479,4.5,3.25527,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,31,16,8,23,16,4,0,3.45714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1837","apj","Na-Dene","Athapaskan","USA","North America","apachejicarilla",36.58,-104,133617,157342,4,8.9021,37.583,25.314,8.1481,6,2.90956,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,34,19,4,30,19,7,3,3.6865671641791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1838","apw","Na-Dene","Athapaskan","USA","North America","apachewestern",33.75,-110,794666,520415,4,10.7333,42.778,21.855,7.4271,5,4.10356,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1839","aqp","Atakapa","Atakapa","USA","North America","atakapa",30,-93.5,NA,NA,NA,19.7194,121.083,25.36,6.6081,12,1.69897,17,NA,NA,NA,NA,-1,0.29167,-0.29167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1840","ems","Eskimo-Aleut","Eskimo-Aleut","USA","North America","alutiiq",57,-157,2553041,0,5,0.8333,41.833,17.45,8.6661,4,2.60206,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1841","atw","Hokan","Palaihnihan","USA","North America","atsugewi",40.75,-121,663,9720,2,NA,NA,NA,NA,NA,1.69897,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1842","bll","Siouan","Siouan","USA","North America","biloxi",30.5,-88.67,NA,NA,NA,19.2964,134.06,26.177,6.5395,12,1.69897,16,NA,NA,NA,NA,-1,0.25,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.21052631578947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
