iso_639_3,fileName,Language,Stock,Stock_coarse,Region,Region_coarse,L1_speakers,L2_speakers,RatioL2,PercL2,LDT,LDTinv,LDTscaled,measure,text,genus_wals,family_wals
kat,udhr_kat.csv,Georgian,Kartvelian,Other,Greater Mesopotamia,Greater Mesopotamia,4255270,80000,0.018800217,0.0185,0.5056899,0.5056899,1.041570258,TTR,UDHR,Kartvelian,Kartvelian
tir,udhr_tir.csv,Tigrinya ,Semitic,Semitic,Greater Abyssinia  ,Other,5791710,146934,0.025369709,0.0247,0.776251738,0.223748262,0.639700162,a,UDHR,Semitic,Afro-Asiatic
tir,udhr_tir.csv,Tigrinya ,Semitic,Semitic,Greater Abyssinia  ,Other,5791710,146934,0.025369709,0.0247,8.397768088,8.397768088,0.807354307,H,UDHR,Semitic,Afro-Asiatic
tir,udhr_tir.csv,Tigrinya ,Semitic,Semitic,Greater Abyssinia  ,Other,5791710,146934,0.025369709,0.0247,0.497807018,0.497807018,0.980999719,TTR,UDHR,Semitic,Afro-Asiatic
pol,freqlist_polish.csv,polish,Indo-European,Indo-European,Europe,Europe,39990670,1145760,0.028650683,0.027852684,1.099892462,-0.099892462,0.788176018,a,EPC,Slavic,IE
pol,freqlist_polish.csv,polish,Indo-European,Indo-European,Europe,Europe,39990670,1145760,0.028650683,0.027852684,11.75314063,11.75314063,0.869903004,H,EPC,Slavic,IE
pol,freqlist_polish.csv,polish,Indo-European,Indo-European,Europe,Europe,39990670,1145760,0.028650683,0.027852684,0.019711433,0.019711433,0.130848189,TTR,EPC,Slavic,IE
pol,zipf_stats_pol-x-bible-polishnull-v1.txt,polishnull,Indo-European,Indo-European,Europe,Europe,39990670,1145760,0.028650683,0.027852684,1.106513301,-0.106513301,0.648403775,a,PBC,Slavic,Indo-European
pol,zipf_stats_pol-x-bible-polishnull-v1.txt,polishnull,Indo-European,Indo-European,Europe,Europe,39990670,1145760,0.028650683,0.027852684,8.228723132,8.228723132,0.206119508,H,PBC,Slavic,Indo-European
pol,zipf_stats_pol-x-bible-polishnull-v1.txt,polishnull,Indo-European,Indo-European,Europe,Europe,39990670,1145760,0.028650683,0.027852684,0.131655055,0.131655055,0.388571337,TTR,PBC,Slavic,Indo-European
