iso_639_3,fileName,Language,Stock,Stock_coarse,Region,Region_coarse,L1_speakers,L2_speakers,RatioL2,PercL2,LDT,LDTinv,LDTscaled,measure,text,genus_wals,family_wals
ron,zipf_stats_ron-x-bible-corni-v1.txt,corni,Indo-European,Indo-European,Europe,Europe,24808318,4000000,0.161236247,0.138848787,0.089106667,0.089106667,-0.224008035,TTR,PBC,Romance,Indo-European
ron,udhr_ron_2006.csv,Romanian ,Indo-European,Indo-European,Europe,Europe,24808318,4000000,0.161236247,0.139,0.855726215,0.144273785,0.261499063,a,UDHR,Romance,Indo-European
ron,udhr_ron_2006.csv,Romanian ,Indo-European,Indo-European,Europe,Europe,24808318,4000000,0.161236247,0.139,8.171227857,8.171227857,0.460574769,H,UDHR,Romance,Indo-European
ron,udhr_ron_2006.csv,Romanian ,Indo-European,Indo-European,Europe,Europe,24808318,4000000,0.161236247,0.139,0.389681669,0.389681669,0.15018557,TTR,UDHR,Romance,Indo-European
tur,zipf_stats_tur-x-bible-turknull-v1.txt,turknull,Turkic,Turkic,Greater Mesopotamia,Greater Mesopotamia,62375060,10593467,0.169834974,0.145178578,1.043086528,-0.043086528,0.882337604,a,PBC,Turkic,Altaic
tur,zipf_stats_tur-x-bible-turknull-v1.txt,turknull,Turkic,Turkic,Greater Mesopotamia,Greater Mesopotamia,62375060,10593467,0.169834974,0.145178578,9.069790267,9.069790267,0.920482927,H,PBC,Turkic,Altaic
tur,zipf_stats_tur-x-bible-turknull-v1.txt,turknull,Turkic,Turkic,Greater Mesopotamia,Greater Mesopotamia,62375060,10593467,0.169834974,0.145178578,0.207937337,0.207937337,1.486825716,TTR,PBC,Turkic,Altaic
tur,udhr_tur.csv,Turkish,Turkic,Turkic,Greater Mesopotamia,Greater Mesopotamia,62375060,10593467,0.169834974,0.145,0.638972194,0.361027806,1.292982523,a,UDHR,Turkic,Altaic
tur,udhr_tur.csv,Turkish,Turkic,Turkic,Greater Mesopotamia,Greater Mesopotamia,62375060,10593467,0.169834974,0.145,8.647101128,8.647101128,1.189024247,H,UDHR,Turkic,Altaic
tur,udhr_tur.csv,Turkish,Turkic,Turkic,Greater Mesopotamia,Greater Mesopotamia,62375060,10593467,0.169834974,0.145,0.536316948,0.536316948,1.276902534,TTR,UDHR,Turkic,Altaic
tem,zipf_stats_tem-x-bible-themn-v1.txt,themn,Atlantic,Atlantic,African Savannah  ,African Savannah  ,1230000,220000,0.178861789,0.151724138,1.549761351,-0.549761351,-0.98640607,a,PBC,Southern Atlantic,Niger-Congo
tem,zipf_stats_tem-x-bible-themn-v1.txt,themn,Atlantic,Atlantic,African Savannah  ,African Savannah  ,1230000,220000,0.178861789,0.151724138,5.933621742,5.933621742,-1.743233178,H,PBC,Southern Atlantic,Niger-Congo
tem,zipf_stats_tem-x-bible-themn-v1.txt,themn,Atlantic,Atlantic,African Savannah  ,African Savannah  ,1230000,220000,0.178861789,0.151724138,0.051596104,0.051596104,-0.764056648,TTR,PBC,Southern Atlantic,Niger-Congo
tem,udhr_tem.csv,Temne ,Atlantic,Atlantic,African Savannah  ,African Savannah  ,1230000,220000,0.178861789,0.152,1.07216774,-0.07216774,-0.768497301,a,UDHR,Southern Atlantic,Niger-Congo
