iso,filename,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,Corpus,H_scaled
bis,bis-x-bible.csv,6.6985733152,6.7144285337,6.7681456121,6.8339404664,6.6987037863,6.7273683778,6.7418153719,6.736650181,6.7035547787,PBC,-2.1253832964
mio,mio-x-bible.csv,6.7895518226,6.8043538737,6.853412618,6.9137101676,6.7896802502,6.8178534978,6.8313404455,6.8243209221,6.7946696147,PBC,-2.0466095217
tpi,tpi-x-bible.csv,6.8286490777,6.8472742707,6.9111873164,6.9886999231,6.8287813829,6.8578621378,6.8841347443,6.8741857309,6.8330842657,PBC,-2.0133979483
kno,kno-x-bible.csv,6.8753682242,6.8928681151,6.9518408715,7.0237506335,6.8754985929,6.9041385004,6.927236237,6.9173006604,6.8801836123,PBC,-1.9726779791
kgp,kgp-x-bible.csv,6.916766333,6.9349731444,6.9970324957,7.0723980277,6.9168979631,6.9458211092,6.9715476343,6.9609719184,6.9236631096,PBC,-1.9350875682
mih,mih-x-bible.csv,6.9579942394,6.9768069827,7.0399179345,7.1167683661,6.9581243275,6.9867153555,7.0138390835,7.0029041079,6.9632654286,PBC,-1.9008491907
haw,haw-x-bible.csv,7.0473497595,7.0721208333,7.1589710779,7.262655043,7.0474850945,7.0772772114,7.1276706395,7.1096624856,7.0537442807,PBC,-1.822625259
mpm,mpm-x-bible.csv,7.0643471941,7.0833763417,7.145648288,7.2218441186,7.0644748978,7.0925400532,7.1189240953,7.1085886142,7.0712718934,PBC,-1.8074716762
mjc,mjc-x-bible.csv,7.0749454208,7.0958067911,7.1650246014,7.2492101537,7.0750746827,7.1035003388,7.1358650043,7.1242435681,7.0804968582,PBC,-1.799496188
lhu,lhu-x-bible.csv,7.0760150057,7.0895474852,7.128561856,7.1783143276,7.0761303996,7.1014312468,7.1078918464,7.1032416702,7.0817434737,PBC,-1.7984184205
mzm,mzm-x-bible.csv,7.0798288708,7.0991609844,7.1632473463,7.241292807,7.0799579805,7.1083271752,7.1368613785,7.1254666439,7.0867414914,PBC,-1.79409736
ctp,ctp-x-bible.csv,7.1642140287,7.1834884344,7.2449861407,7.3206334229,7.1643393298,7.1918778478,7.2185501997,7.2078218716,7.1710600993,PBC,-1.7211992974
cta,cta-x-bible.csv,7.1681300009,7.1853990605,7.2384566746,7.304561753,7.1682515216,7.1949405637,7.2133616056,7.2055479016,7.1750891313,PBC,-1.7177159782
dgi,dgi-x-bible.csv,7.1769840638,7.2092571519,7.3222818989,7.4556876299,7.1771201309,7.2071114539,7.2855912204,7.2584732871,7.1804345125,PBC,-1.7130946029
nnw,nnw-x-bible.csv,7.2024342944,7.2277247385,7.3122324779,7.4141026756,7.2025647715,7.2312888625,7.2795547243,7.2628611741,7.2078362252,PBC,-1.6894043189
urb,urb-x-bible.csv,7.2127954387,7.2341184714,7.3021480056,7.3856348429,7.2129208852,7.2405149622,7.2719924046,7.2610726385,7.2196956531,PBC,-1.6791511928
srm,srm-x-bible.csv,7.253729358,7.2716476304,7.3263967408,7.3945545663,7.2538505238,7.2804620353,7.3016955301,7.2923731495,7.261660699,PBC,-1.6428701082
smo,smo-x-bible.csv,7.2646181576,7.2928516996,7.3867880006,7.4997844275,7.2647483985,7.2934439451,7.3503403374,7.331821543,7.2703912426,PBC,-1.6353220743
ndz,ndz-x-bible.csv,7.2945621633,7.313273918,7.3713898719,7.4432680752,7.2946850131,7.3216672683,7.3471577093,7.3357134985,7.3034678919,PBC,-1.6067254963
srn,srn-x-bible.csv,7.296320423,7.3153928514,7.3728166805,7.4445249999,7.2964402811,7.3227843652,7.3458204502,7.3367873516,7.303565793,PBC,-1.6066408554
ptp,ptp-x-bible.csv,7.2948124291,7.311417849,7.3602331658,7.421749811,7.294929965,7.3207321905,7.3364719876,7.329087126,7.3037045411,PBC,-1.6065209
