iso,filename,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,Corpus,H_scaled
cya,cya-x-bible.csv,7.3008097473,7.3195936367,7.3757023246,7.4459260907,7.3009288807,7.3271095966,7.3487864532,7.3403160144,7.3078566494,PBC,-1.6029311746
fij,fij-x-bible-hindi.csv,7.3033880099,7.3363247376,7.4486128182,7.5819320375,7.3035212563,7.3328977816,7.4085207837,7.3841531061,7.3084644271,PBC,-1.6024057174
bib,bib-x-bible.csv,7.301926707,7.3262216915,7.4048054596,7.5003394139,7.3020539174,7.330049186,7.3724806822,7.3579487149,7.3086395196,PBC,-1.6022543404
cut,cut-x-bible.csv,7.3177549346,7.3440264113,7.4286653169,7.5314438549,7.3178818897,7.3458379184,7.3943980696,7.3781089497,7.3229514187,PBC,-1.5898809184
nin,nin-x-bible-2011.csv,7.316478582,7.3344257083,7.3874049165,7.4539501736,7.3165966359,7.3425267561,7.3614897479,7.3537346881,7.3244506479,PBC,-1.5885847525
kri,kri-x-bible.csv,7.3225832301,7.3410930075,7.3958520913,7.4645987394,7.322701459,7.3486824055,7.3687778199,7.361086295,7.3303854335,PBC,-1.5834538047
fij,fij-x-bible-1974.csv,7.3438170722,7.3755563631,7.4815174877,7.6081263082,7.3439480744,7.3728243088,7.444042936,7.4198560452,7.3487999348,PBC,-1.5675334581
bwu,bwu-x-bible.csv,7.3584428983,7.3847865098,7.4704552292,7.5741352064,7.3585708441,7.386741282,7.4394244824,7.4196340596,7.3647530101,PBC,-1.5537411492
mxt,mxt-x-bible.csv,7.3763019106,7.4077526625,7.5134581349,7.6393936057,7.3764337089,7.4054767615,7.4779725416,7.4522907171,7.3818844924,PBC,-1.5389300429
hag,hag-x-bible.csv,7.3783957506,7.4063407536,7.4976493002,7.6077608494,7.3785243337,7.4068436511,7.4642628968,7.4437136045,7.3849053309,PBC,-1.5363183622
bnp,bnp-x-bible.csv,7.3820076124,7.4102267274,7.5019025695,7.6125931836,7.3821356385,7.410334839,7.4667207791,7.4475524669,7.3872630643,PBC,-1.5342799724
sig,sig-x-bible.csv,7.3790945798,7.4049909558,7.4908119062,7.5940571611,7.3792245266,7.407821686,7.4616033994,7.4405835369,7.3879467733,PBC,-1.5336888684
cko,cko-x-bible.csv,7.39279298,7.4175496269,7.4947128957,7.5894277169,7.3929165817,7.4201285368,7.4609964523,7.4475709387,7.3999038391,PBC,-1.523351329
biv,biv-x-bible.csv,7.3959698578,7.423251221,7.5104146812,7.6162659334,7.396096134,7.4239071466,7.4775313388,7.4581385054,7.4007461931,PBC,-1.5226230678
mda,mda-x-bible.csv,7.3928741514,7.411600333,7.4665176032,7.5355320553,7.3929916953,7.418819136,7.4398640792,7.4314877519,7.402057567,PBC,-1.5214893131
mnh,mnh-x-bible.csv,7.3977085569,7.426778862,7.5222277745,7.6369970451,7.3978377408,7.4262950272,7.4889049187,7.4660716098,7.4041398615,PBC,-1.5196890552
djk,djk-x-bible.csv,7.3971301976,7.4141395721,7.4622166687,7.5233685156,7.3972444059,7.4223201725,7.4393680185,7.4307629444,7.4047119926,PBC,-1.5191944165
trq,trq-x-bible.csv,7.3995209235,7.4241188739,7.5011733502,7.5955094163,7.3996451086,7.4269761664,7.4698284316,7.4543117473,7.4058400501,PBC,-1.5182191489
nfr,nfr-x-bible.csv,7.4045154564,7.4266319714,7.4942557428,7.5778385236,7.4046371522,7.4314020483,7.4654420976,7.4524145538,7.4110905734,PBC,-1.5136797835
xav,xav-x-bible.csv,7.4146530137,7.4544858238,7.5921050784,7.7531829027,7.4147884598,7.4446688093,7.5521672476,7.5142468117,7.4206485051,PBC,-1.5054164271
muh,muh-x-bible.csv,7.4126374955,7.4310462842,7.4851571084,7.5530414,7.4127553272,7.4386328402,7.4607559039,7.4507344912,7.4215657019,PBC,-1.5046234602
trc,trc-x-bible.csv,7.4308383519,7.4516997222,7.5139647728,7.5915678358,7.4309577041,7.4571994414,7.4857884919,7.4747842365,7.4387187626,PBC,-1.4897936981
gnd,gnd-x-bible.csv,7.4373173868,7.4679602295,7.570332176,7.6923277902,7.4374486856,7.4663677735,7.5360168763,7.5109670907,7.4426533116,PBC,-1.4863920646
kqw,kqw-x-bible.csv,7.4401623646,7.4619470598,7.5257925281,7.6057622541,7.44028006,7.4661744208,7.4961496359,7.4851067199,7.4463878595,PBC,-1.4831633431
nak,nak-x-bible.csv,7.4416084606,7.4752088281,7.5865712214,7.7193037231,7.4417390372,7.4705232632,7.5489480119,7.521655849,7.4464680922,PBC,-1.4830939775
pis,pis-x-bible.csv,7.4418255127,7.4672890802,7.54595119,7.6425680553,7.4419483896,7.4690027502,7.5121009576,7.4976686986,7.4484898889,PBC,-1.4813460233
hvn,hvn-x-bible.csv,7.4505718205,7.4863650845,7.6080288176,7.7515182498,7.4507053174,7.4801356077,7.5710907516,7.5384240998,7.4563633202,PBC,-1.47453901
bwq,bwq-x-bible.csv,7.4540695976,7.4830966218,7.5795751601,7.694895252,7.4542002536,7.4829672893,7.5492527565,7.5234089081,7.4622876846,PBC,-1.4694170719
mie,mie-x-bible.csv,7.4772214462,7.5039401583,7.5869682501,7.6885827472,7.4773450117,7.5045573631,7.5534643202,7.5362586741,7.484210328,PBC,-1.450463744
mri,mri-x-bible.csv,7.4852297132,7.5220472906,7.6463460389,7.7930276294,7.4853625706,7.5146576275,7.6080319419,7.574956195,7.4916358963,PBC,-1.4440439328
rai,rai-x-bible.csv,7.4964980637,7.5201149815,7.5907857601,7.678480687,7.4966178803,7.5229852355,7.5590812549,7.5464685497,7.5036711667,PBC,-1.4336387812
tpz,tpz-x-bible.csv,7.4955772373,7.5155729906,7.5736327939,7.6465548483,7.495694116,7.5213814642,7.5474364558,7.5364355322,7.5038661911,PBC,-1.4334701719
zpo,zpo-x-bible.csv,7.5117427411,7.5445351994,7.6507071797,7.7780415844,7.5118709498,7.5401285734,7.6149780535,7.5878970818,7.5171959502,PBC,-1.4219458638
kdl,kdl-x-bible-2010.csv,7.5129374999,7.5412576035,7.6297757549,7.7375974432,7.5130618419,7.5404494358,7.5961541565,7.5760260402,7.5186730391,PBC,-1.4206688394
sny,sny-x-bible.csv,7.5126688555,7.5390701748,7.6228757333,7.7246730323,7.5127946187,7.5404760134,7.5926948111,7.5724959173,7.5219708067,PBC,-1.4178177384
xsm,xsm-x-bible.csv,7.5512987561,7.5785801193,7.6646788667,7.7692432455,7.5514240749,7.5790117048,7.633464014,7.6127789366,7.5598620937,PBC,-1.3850586419
kpg,kpg-x-bible.csv,7.5519767432,7.5722033277,7.6290876799,7.7011394582,7.552090877,7.577179617,7.601584105,7.5918645532,7.5600561728,PBC,-1.3848908499
apn,apn-x-bible.csv,7.5566702485,7.5846152515,7.6716183103,7.7776796111,7.5567942344,7.5840986948,7.6388114657,7.6186756836,7.5631873013,PBC,-1.3821838175
kwf,kwf-x-bible.csv,7.5579134155,7.5867384624,7.6774439609,7.7875394284,7.5580385346,7.5855948123,7.6431179,7.622680696,7.5659429106,PBC,-1.3798014421
itv,itv-x-bible.csv,7.5703948944,7.6256212605,7.8168157298,8.0357358317,7.5705321025,7.6008349826,7.7730352931,7.7099728558,7.5745484822,PBC,-1.3723614533
urk,urk-x-bible.csv,7.5747075395,7.5962325495,7.6574476392,7.7346512396,7.574822695,7.6001502882,7.6280757214,7.6177031728,7.5835089124,PBC,-1.3646146698
dnj,dnj-x-bible-western.csv,7.5754152421,7.5978635769,7.6635641692,7.7455759909,7.5755330823,7.6014500142,7.6328622922,7.6217851694,7.5846125191,PBC,-1.3636605413
maq,maq-x-bible.csv,7.5793629138,7.6175799055,7.7445090317,7.8944189129,7.5794943203,7.6084710027,7.7067682578,7.6710090783,7.5850526906,PBC,-1.3632799888
jam,jam-x-bible-2012.csv,7.5862440219,7.6076680432,7.6672325179,7.7428921801,7.586357188,7.6112518658,7.6378493395,7.6279411939,7.5942195045,PBC,-1.3553547753
mtj,mtj-x-bible.csv,7.5880866058,7.6174743038,7.709664006,7.821580012,7.5882114609,7.6157139151,7.6757231899,7.6539061841,7.5969367391,PBC,-1.3530055769
hmo,hmo-x-bible.csv,7.5919695393,7.6160625464,7.6869020041,7.7750439532,7.5920879081,7.6181351859,7.6558126484,7.6420304307,7.6002279912,PBC,-1.3501601089
pne,pne-x-bible.csv,7.5982172579,7.6221804225,7.6933699558,7.7816316879,7.5983366162,7.6245952181,7.6637328,7.6486189148,7.6064676254,PBC,-1.3447656028
mif,mif-x-bible.csv,7.6040209172,7.635789062,7.7366972127,7.8583569524,7.6041472266,7.6319793233,7.700770766,7.6762770189,7.6116914677,PBC,-1.3402493045
kac,kac-x-bible-common.csv,7.6156327557,7.640288414,7.7119107401,7.801329023,7.615750031,7.6415657351,7.6781109251,7.6661588361,7.6230194096,PBC,-1.3304556773
tcs,tcs-x-bible.csv,7.6158106888,7.6437989726,7.7276047776,7.8309197993,7.6159309664,7.6424260636,7.6928013243,7.675244647,7.6232202625,PBC,-1.3302820289
byx,byx-x-bible.csv,7.6289802544,7.6549776191,7.7323622919,7.8279812474,7.6290999745,7.6554517574,7.6998294429,7.6838489368,7.6362789307,PBC,-1.3189920938
kac,kac-x-biblehin.csv,7.6297367138,7.6561813139,7.7341663789,7.8308638598,7.629855508,7.6560143398,7.70019948,7.6849180044,7.63704456,PBC,-1.3183301653
tgp,tgp-x-bible.csv,7.6337081739,7.6615377613,7.7452734963,7.8482832938,7.633828959,7.6604302836,7.7119934113,7.6931677522,7.6408848473,PBC,-1.3150100262
hwc,hwc-x-bible-2000.csv,7.637379162,7.6589041721,7.7200291849,7.7970022616,7.6374943249,7.6628139374,7.692626856,7.6803719273,7.6466387822,PBC,-1.3100354338
sab,sab-x-bible.csv,7.6452240032,7.6725919281,7.7566592571,7.8593841898,7.6453468122,7.6723812739,7.7250033776,7.7051244943,7.6550697378,PBC,-1.3027464101
sbd,sbd-x-bible.csv,7.6544516797,7.6780830245,7.747140632,7.8330653253,7.6545696296,7.6805106333,7.718794782,7.7032968484,7.6631506656,PBC,-1.2957600047
zpz,zpz-x-bible.csv,7.6590667446,7.6896951603,7.7833766322,7.8976196411,7.6591893412,7.6862006402,7.7478417527,7.7258435166,7.66559784,PBC,-1.2936442881
udu,udu-x-bible.csv,7.6628869179,7.7122415153,7.8767900341,8.068222346,7.6630196811,7.6923287251,7.8335509337,7.782362556,7.6669948396,PBC,-1.2924365053
mzk,mzk-x-bible.csv,7.6842614218,7.7065654872,7.7684972743,7.846908479,7.6843747197,7.7092935933,7.7392006894,7.7277195097,7.6927298058,PBC,-1.2701872151
mqb,mqb-x-bible.csv,7.6865584478,7.710348489,7.7791251511,7.8649599523,7.6866754317,7.7124078107,7.7498910373,7.7351377737,7.6958043353,PBC,-1.2675291157
nii,nii-x-bible.csv,7.6878975003,7.7110383288,7.7768994658,7.859545846,7.6880130442,7.7134260491,7.7467765966,7.7343053305,7.6971194882,PBC,-1.2663920939
pri,pri-bible-2012.csv,7.69654657,7.7284589843,7.827633349,7.9476914685,7.6966708906,7.7240616559,7.7914397042,7.767485847,7.7046817265,PBC,-1.259854124
mta,mta-x-bible.csv,7.7003876167,7.7416486949,7.875380943,8.0336735239,7.7005168057,7.7290167588,7.8352125321,7.7968683946,7.7064533847,PBC,-1.2583224282
acd,acd-x-bible.csv,7.7047693565,7.7335511226,7.8207658072,7.9274994091,7.7048910266,7.7316836771,7.788328933,7.7668800614,7.7131510213,PBC,-1.2525319539
box,box-x-bible.csv,7.7043616963,7.7326096652,7.8164779783,7.9198519501,7.7044813766,7.7308382738,7.7828064816,7.7638937568,7.7132824462,PBC,-1.2524183299
xon,xon-x-bible-likpakpaaln.csv,7.7140212741,7.7461500927,7.8439954465,7.9632087251,7.7141435915,7.7411008823,7.8067837483,7.7837943458,7.7220777475,PBC,-1.2448143094
uvl,uvl-x-bible.csv,7.7138467436,7.7418061735,7.8252825589,7.9279681815,7.7139669744,7.7404392515,7.7922310963,7.773168822,7.7222598615,PBC,-1.2446568618
xon,xon-x-bible-likoonli.csv,7.7148801254,7.7464462929,7.8423626675,7.9593550634,7.715002204,7.7419035206,7.8059384755,7.7832530708,7.7229272605,PBC,-1.2440798588
mop,mop-x-bible.csv,7.7192646922,7.7679989307,7.9283655574,8.115457204,7.7193961594,7.7484147102,7.88173459,7.8356428097,7.7232726125,PBC,-1.243781283
kms,kms-x-bible.csv,7.7182849705,7.7420173039,7.8077600463,7.8909388007,7.7183981427,7.7433033238,7.776389431,7.7644223556,7.7265409641,PBC,-1.2409556138
avu,avu-x-bible.csv,7.7189005095,7.7476534216,7.8339952779,7.9399031937,7.7190213551,7.7456320939,7.8006712238,7.7803368722,7.7274074451,PBC,-1.2402064934
sur,sur-x-bible.csv,7.7210229524,7.7479724957,7.8270847158,7.9249676001,7.7211415795,7.7472551272,7.7939433426,7.7771125369,7.7292244965,PBC,-1.2386355528
ncu,ncu-x-bible.csv,7.7283173358,7.762292804,7.8686174973,7.9966682984,7.7284425485,7.7560367566,7.8329563286,7.8045462643,7.7360796939,PBC,-1.2327088585
mej,mej-x-bible.csv,7.7344367485,7.7688017443,7.87597176,8.005185784,7.7345616037,7.7620815616,7.8368114658,7.8112165305,7.7436048627,PBC,-1.2262029372
bru,bru-x-bible.csv,7.732777181,7.7547061456,7.8162019007,7.8937388146,7.7328914162,7.7580034409,7.7889178075,7.7760370781,7.7442967083,PBC,-1.2256047988
dtp,dtp-x-bible-kadazan.csv,7.7410686842,7.7930057057,7.9663272075,8.1669185398,7.7412019075,7.7706138699,7.9231901622,7.8672387632,7.7466827914,PBC,-1.223541899
mfq,mfq-x-bible.csv,7.7474427403,7.7860059787,7.907720898,8.0531591267,7.7475691441,7.7754446046,7.8682163306,7.834965175,7.7535637742,PBC,-1.2175929118
bjv,bjv-x-bible.csv,7.7614699233,7.7928485405,7.8870871613,8.0022718593,7.7615909995,7.7882664492,7.8520944774,7.8286251704,7.7682269699,PBC,-1.2049157747
bam,bam-x-bible.csv,7.7610457993,7.7944441895,7.8958944009,8.0192330352,7.7611680736,7.7881171742,7.8586923877,7.8334869329,7.7690452583,PBC,-1.2042083195
gfk,gfk-x-bible.csv,7.7681867118,7.7955257828,7.8739766675,7.9716632385,7.7683032963,7.793974646,7.8404970506,7.8236467714,7.776488578,PBC,-1.1977731612
myk,myk-x-bible.csv,7.7757906265,7.8057986834,7.8958522479,8.0060008508,7.7759116183,7.8025561906,7.8623262372,7.8399761613,7.7839914187,PBC,-1.1912865438
ntr,ntr-x-bible.csv,7.776765751,7.8010463086,7.8698582952,7.9560797425,7.7768810933,7.8022542242,7.8405706295,7.8253059282,7.7877301815,PBC,-1.1880541782
kub,kub-x-bible.csv,7.7963020276,7.8280413185,7.924270643,8.0413905063,7.7964241039,7.8233163757,7.8895849629,7.8650254354,7.8044796139,PBC,-1.173573375
sus,sus-x-bible.csv,7.7980563958,7.8354077704,7.9490671856,8.0865574123,7.7981791162,7.8252440509,7.9071836309,7.8793626422,7.8050426046,PBC,-1.1730866386
kqp,kqp-x-bible.csv,7.7971241903,7.8279690103,7.9197392015,8.032208282,7.7972444001,7.8237250335,7.8855544886,7.8624632961,7.8058620712,PBC,-1.1723781648
rop,rop-x-bible.csv,7.8017521691,7.8325825621,7.9236243291,8.0355060871,7.8018716429,7.8281933496,7.888626892,7.8664837476,7.8104409397,PBC,-1.1684194818
afr,afr-x-bible-viralmal.csv,7.8034067158,7.8341216933,7.9245790734,8.0358587667,7.8035259262,7.8297897404,7.888179887,7.8676913936,7.8121165391,PBC,-1.1669708341
mbb,mbb-x-bible.csv,7.8103166765,7.8664663675,8.0541692277,8.2698836417,7.8104505491,7.8400113756,8.0117213334,7.9473764934,7.8160363252,PBC,-1.163581964
gux,gux-x-bible.csv,7.8095176514,7.8440124898,7.9486550203,8.075617166,7.8096399643,7.8365990026,7.909651262,7.8843272364,7.8178168096,PBC,-1.1620426376
mks,mks-x-bible.csv,7.8127251668,7.8389533627,7.9136075888,8.0068123049,7.8128410263,7.8383421964,7.8822123859,7.8654644691,7.8236180573,PBC,-1.1570271406
kma,kma-x-bible.csv,7.8177492106,7.85195551,7.955021333,8.0803289162,7.8178708784,7.8446864872,7.9169902338,7.8913750665,7.8255686837,PBC,-1.1553407171
iumthai.csv,ium-x-bible-thai.csv,7.8160736653,7.8408303122,7.9089399799,7.9949869003,7.8161864815,7.8410117981,7.8775266347,7.8639429954,7.825569877,PBC,-1.1553396854
wbm,wbm-x-bible.csv,7.8162765487,7.8448563374,7.9286914126,8.032020569,7.8163953787,7.8425558342,7.8942882634,7.8758536191,7.8259966276,PBC,-1.1549707361
mnk,mnk-x-bible.csv,7.8220198699,7.8598761878,7.9749943947,8.1141599938,7.8221425763,7.8492059637,7.9352195031,7.9043963227,7.8294957492,PBC,-1.1519455535
ium,ium-x-bible-latin.csv,7.8300029352,7.850734463,7.9025928381,7.9704422293,7.8301077247,7.853152582,7.8729448661,7.8658669137,7.8395414046,PBC,-1.1432605333
bzj,bzj-x-bible.csv,7.832089311,7.8592408317,7.9339899708,8.0282270938,7.8322022825,7.8570821231,7.8986460763,7.8846488994,7.8401983142,PBC,-1.1426925989
mbj,mbj-x-bible-2011.csv,7.8319276265,7.8694954054,7.9850291425,8.1241554868,7.8320514684,7.8593593685,7.9460712314,7.9147671683,7.8405092853,PBC,-1.1424237473
kbm,kbm-x-bible.csv,7.8352923388,7.8644780595,7.9495219369,8.0545054324,7.8354105731,7.8614466385,7.9166310642,7.8956774371,7.8444622288,PBC,-1.1390062108
ium,ium-x-bible-latinnew.csv,7.8374082864,7.8620206638,7.9289518855,8.0138083685,7.8375201205,7.8621293635,7.8969325412,7.8843784351,7.8471130865,PBC,-1.1367143989
ium,ium-x-bible-lao.csv,7.8382851518,7.8625512824,7.9278799721,8.0110255376,7.8383960888,7.8628089712,7.8970492499,7.8840448548,7.8477623889,PBC,-1.1361530413
leu,leu-x-bible.csv,7.8415458212,7.870111183,7.9513437914,8.0524624369,7.8416618002,7.8672025802,7.9175623408,7.8990092301,7.849198554,PBC,-1.1349113978
mfh,mfh-x-bible.csv,7.8442357549,7.8979617182,8.0757649891,8.2810283998,7.8443684578,7.8736639665,8.033764181,7.973907661,7.8503550368,PBC,-1.133911555
zao,zao-x-bible.csv,7.8458937844,7.8859718526,8.0089240162,8.1565767472,7.8460176176,7.8733315556,7.967329424,7.9341566929,7.852358018,PBC,-1.1321798678
tsw,tsw-x-bible.csv,7.8469584842,7.8765914403,7.9619965284,8.0677567379,7.847075727,7.8728995253,7.9283511822,7.9075063766,7.8557547641,PBC,-1.1292431945
bgr,bgr-x-bible.csv,7.8530490802,7.8891453102,7.9967922278,8.1278116653,7.8531698912,7.879807655,7.9566996045,7.9298941126,7.8609962508,PBC,-1.1247116416
cux,cux-x-bible.csv,7.8549791513,7.8977406323,8.0322454429,8.1919247943,7.855105733,7.8830280035,7.9874506158,7.9520197634,7.8615550106,PBC,-1.1242285631
lsi,lsi-x-bible-2009.csv,7.8414530309,7.8859131753,7.9866124328,8.1161756309,7.8416650085,7.8735897807,7.9518621679,7.9122702339,7.8620719597,PBC,-1.1237816323
sil,sil-x-bible.csv,7.8545961843,7.8908799646,8.0025716386,8.1370766484,7.8547201144,7.8820379831,7.965679833,7.9347208507,7.864353535,PBC,-1.1218090852
caa,caa-x-bible.csv,7.8626784032,7.90522348,8.0367321046,8.1938491601,7.8628031582,7.890327535,7.9927870064,7.9572740192,7.8687626678,PBC,-1.117997148
mbt,mbt-x-bible.csv,7.8719741158,7.9285277614,8.1121656585,8.3247702381,7.8721049784,7.9010046638,8.0691254162,8.005694039,7.8767722185,PBC,-1.111072452
gil,gil-x-bible.csv,7.8721221956,7.9181874482,8.0625561997,8.2335616497,7.8722486143,7.900147442,8.0170880211,7.9763324231,7.8789054403,PBC,-1.1092281647
nou,nou-x-bible.csv,7.8712950166,7.9057321472,8.0091503995,8.1347761098,7.8714165039,7.8981885699,7.9720901322,7.9452410856,7.8789181656,PBC,-1.109217163
cak,cak-x-bible-central1980.csv,7.8809332096,7.9418870751,8.1430159777,8.3733684779,7.8810662023,7.9104401913,8.0963985576,8.028034136,7.8853165982,PBC,-1.103685367
cak,cak-x-bible-eastern.csv,7.8877615267,7.9469841582,8.1412972605,8.3646348129,7.8878937874,7.9171033921,8.0967351295,8.0296979964,7.8918083853,PBC,-1.0980728609
bav,bav-x-bible.csv,7.8936628169,7.9205979333,7.9936613935,8.0861218374,7.893774581,7.9183858233,7.9594971248,7.9449700244,7.9033032444,PBC,-1.0881349245
mib,mib-x-bible.csv,7.8960703612,7.9295264592,8.0264330449,8.1456749945,7.8961883507,7.9221943698,7.9908557595,7.9649562725,7.9037008762,PBC,-1.08779115
knj,knj-x-bible.csv,7.8937410506,7.92591315,8.0207571922,8.1369123023,7.8938606391,7.9202061945,7.9844243414,7.9613279476,7.9043416647,PBC,-1.0872371532
lid,lid-x-bible.csv,7.9113808028,7.9407396469,8.0252290886,8.1297193928,7.9114980443,7.937311903,7.9910615243,7.971360203,7.9223995158,PBC,-1.0716251502
mee,mee-x-bible.csv,7.9206801516,7.958680739,8.0741020643,8.2132076264,7.9208030008,7.9478882125,8.0355290015,8.0034760682,7.9301422442,PBC,-1.0649311367
ctu,ctu-x-bible-tili.csv,7.9267477153,7.9721493283,8.1121456437,8.2786809626,7.9268725746,7.9544241818,8.0673838542,8.0276736857,7.9331345238,PBC,-1.0623441468
izr,izr-x-bible.csv,7.9249989052,7.9568680386,8.0486629071,8.1618735359,7.9251163701,7.950995204,8.0118860614,7.9902225943,7.9345351073,PBC,-1.0611332655
hla,hla-x-bible.csv,7.9277002347,7.9688747512,8.0935691549,8.2434908134,7.9278230013,7.954903447,8.050277386,8.0172059269,7.9349049341,PBC,-1.06081353
dnj,dnj-x-bible-eastern.csv,7.9258402122,7.9527753286,8.0269932319,8.1202924864,7.9259534389,7.9508765498,7.9941834211,7.978149799,7.9373426727,PBC,-1.0587059712
lac,lac-x-bible.csv,7.9320733364,7.9848759749,8.1532546405,8.3497556428,7.93220217,7.9606439858,8.1084485971,8.0543883083,7.9376035885,PBC,-1.0584803952
cak,cak-x-bible-western.csv,7.9363782613,7.9901907863,8.1613299611,8.3610253956,7.9365068753,7.9649036026,8.116670757,8.0606867637,7.9410452117,PBC,-1.0555049231
bex,bex-x-bible.csv,7.929709911,7.9566017466,8.0302410347,8.1230322843,7.9298225694,7.9546233913,7.9996946728,7.9815488229,7.941567611,PBC,-1.0550532803
mzw,mzw-x-bible.csv,7.9330228004,7.9665366062,8.0643612594,8.1842519708,7.9331416184,7.9593234715,8.0273069925,8.0027231182,7.9421021113,PBC,-1.0545911754
dyu,dyu-x-bible.csv,7.9436028535,7.9790931515,8.0842168389,8.2121328627,7.9437232069,7.9702485664,8.0453067699,8.0187386527,7.9526484577,PBC,-1.0454732803
pls,pls-x-bible.csv,7.9457117926,7.9961484112,8.1565987638,8.3444258958,7.9458402294,7.9741881637,8.112606853,8.0621535087,7.9538190334,PBC,-1.0444612534
acf,acf-x-bible.csv,7.9477192896,7.9823295436,8.0816292025,8.2039399501,7.947836534,7.9736832207,8.0430454638,8.0182831611,7.957417458,PBC,-1.0413502179
bpr,bpr-x-bible.csv,7.9576189295,8.0109697921,8.1776554099,8.3733278595,7.9577456919,7.9857355022,8.1323975181,8.0783907979,7.9633165728,PBC,-1.0362501095
quc,quc-x-bible-westcentral.csv,7.9607964462,8.0096893811,8.1632840012,8.3440028959,7.9609235221,7.9889678438,8.1208212749,8.0720583773,7.965380349,PBC,-1.0344658618
buk,buk-x-bible.csv,7.9609020128,7.9884574881,8.0622523841,8.1558261316,7.9610128246,7.9854155952,8.0287046514,8.0126984113,7.9708475663,PBC,-1.0297391525
kmh,kmh-x-bible-minimib.csv,7.9655208457,7.9919942997,8.0633071738,8.1535732301,7.9656321603,7.9901326716,8.032419998,8.01564139,7.9766832178,PBC,-1.0246939116
