lang	nativeCountryArea	complexity	logpop2	lat	lon	missing	propPresent	complexityCentered
Pitta Pitta	Australia and Oceania	-3	1.69897	-22.83	140.00	18	0.25000	-0.50000
Pohnpeian	Australia and Oceania	-3	4.46240	6.88	158.25	16	0.33333	-0.37500
Salt-Yui	Australia and Oceania	-3	3.81291	-6.28	145.03	14	0.41667	-0.30000
Selepet	Australia and Oceania	-3	3.84510	-6.17	147.17	15	0.37500	-0.33333
Sisiqa	Australia and Oceania	-3	3.72428	-7.00	156.83	19	0.20833	-0.60000
Tauya	Australia and Oceania	-3	2.54033	-5.75	145.33	13	0.45833	-0.27273
Uradhi	Australia and Oceania	-3	1.69897	-11.92	142.42	19	0.20833	-0.60000
Woleaian	Australia and Oceania	-3	3.21245	7.33	143.83	18	0.25000	-0.50000
Bashkir	Eurasia	-3	6.27216	53.00	58.00	15	0.37500	-0.33333
Chechen	Eurasia	-3	5.98028	43.25	45.83	13	0.45833	-0.27273
Chuvash	Eurasia	-3	6.26349	55.50	47.50	13	0.45833	-0.27273
Godoberi	Eurasia	-3	3.47712	42.67	46.08	14	0.41667	-0.30000
Kalmyk	Eurasia	-3	5.71475	44.00	83.00	14	0.41667	-0.30000
Khanty	Eurasia	-3	4.07918	65.00	65.00	15	0.37500	-0.33333
Koryak	Eurasia	-3	3.54407	61.00	167.00	17	0.29167	-0.42857
Mari (Meadow)	Eurasia	-3	5.72800	57.00	48.00	16	0.33333	-0.37500
Nganasan	Eurasia	-3	2.69897	71.00	93.00	16	0.33333	-0.37500
Udmurt	Eurasia	-3	5.75265	57.50	52.50	16	0.33333	-0.37500
Estonian	Europe	-3	6.03161	59.00	26.00	14	0.41667	-0.30000
Lithuanian	Europe	-3	6.49489	55.00	24.00	15	0.37500	-0.33333
Macedonian	Europe	-3	6.20364	41.67	21.75	19	0.20833	-0.60000
Portuguese	Europe	-3	8.24909	39.00	-8.00	14	0.41667	-0.30000
Slovene	Europe	-3	6.29771	46.00	15.00	17	0.29167	-0.42857
Bribri	North America	-3	4.04139	9.42	-83.00	15	0.37500	-0.33333
Mam	North America	-3	5.00000	15.00	-91.83	13	0.45833	-0.27273
Nez Perce	North America	-3	2.00000	46.00	-116.00	10	0.58333	-0.21429
Nisgha	North America	-3	2.84510	55.00	-130.00	18	0.25000	-0.50000
Paiute (Northern)	North America	-3	3.21245	42.00	-118.00	16	0.33333	-0.37500
Quileute	North America	-3	1.69897	47.92	-124.25	14	0.41667	-0.30000
Shuswap	North America	-3	2.69897	52.00	-120.00	14	0.41667	-0.30000
Wikchamni	North America	-3	1.89209	36.42	-119.08	17	0.29167	-0.42857
Wintu	North America	-3	1.69897	41.00	-122.50	16	0.33333	-0.37500
Campa (Axininca)	South America	-3	4.37566	-12.00	-74.00	13	0.45833	-0.27273
Chácobo	South America	-3	2.74036	-12.17	-66.75	12	0.50000	-0.25000
Cocama	South America	-3	3.31175	-5.00	-74.50	16	0.33333	-0.37500
Cubeo	South America	-3	3.78888	1.33	-70.50	14	0.41667	-0.30000
Ngäbere	South America	-3	5.12415	8.67	-82.00	14	0.41667	-0.30000
Qawasqar	South America	-3	1.69897	-49.00	-75.00	16	0.33333	-0.37500
Tacana	South America	-3	3.26031	-13.50	-68.00	17	0.29167	-0.42857
Waorani	South America	-3	3.21748	-1.00	-76.50	13	0.45833	-0.27273
Warekena	South America	-3	2.84819	1.50	-67.50	8	0.66667	-0.18750
Aari	Africa	-2	5.20101	6.00	36.58	18	0.25000	-0.33333
Akan	Africa	-2	6.91908	6.50	-1.25	14	0.41667	-0.20000
Akwa	Africa	-2	4.47712	10.08	6.33	21	0.12500	-0.66667
Angas	Africa	-2	5.60206	9.50	9.50	19	0.20833	-0.40000
Bagiro	Africa	-2	4.20412	4.33	20.58	19	0.20833	-0.40000
Bemba	Africa	-2	5.47097	-10.00	28.25	19	0.20833	-0.40000
Bilin	Africa	-2	4.84510	15.75	38.50	15	0.37500	-0.22222
Bini	Africa	-2	6.00000	6.42	5.83	21	0.12500	-0.66667
Burunge	Africa	-2	4.11394	-5.33	36.00	13	0.45833	-0.18182
Dabida	Africa	-2	5.30833	-4.00	38.67	20	0.16667	-0.50000
Dagaare	Africa	-2	5.84510	10.50	-2.67	16	0.33333	-0.25000
Day	Africa	-2	4.69824	8.75	17.83	21	0.12500	-0.66667
Dizi	Africa	-2	4.32377	6.17	36.50	17	0.29167	-0.28571
Doyayo	Africa	-2	4.25527	8.67	13.08	13	0.45833	-0.18182
Gbeya Bossangoa	Africa	-2	5.24551	6.67	17.50	17	0.29167	-0.28571
Goemai	Africa	-2	5.30103	8.67	9.75	19	0.20833	-0.40000
Gude	Africa	-2	4.98227	10.42	13.42	13	0.45833	-0.18182
Gula (in Central African Republic)	Africa	-2	4.01077	9.50	22.50	20	0.16667	-0.50000
Hamer	Africa	-2	4.63183	5.00	36.50	20	0.16667	-0.50000
Herero	Africa	-2	5.12385	-20.58	19.00	20	0.16667	-0.50000
Idoma	Africa	-2	5.77815	6.92	7.50	19	0.20833	-0.40000
Isekiri	Africa	-2	5.70757	5.67	5.50	21	0.12500	-0.66667
Izi	Africa	-2	5.77305	6.33	8.00	18	0.25000	-0.33333
Kete	Africa	-2	3.92428	-7.00	22.83	20	0.16667	-0.50000
Kinyarwanda	Africa	-2	6.86185	-2.00	30.00	20	0.16667	-0.50000
Koegu	Africa	-2	2.01284	7.00	36.08	19	0.20833	-0.40000
Koh (Lakka)	Africa	-2	4.17035	8.00	15.50	18	0.25000	-0.33333
Kresh	Africa	-2	4.20412	8.50	24.50	18	0.25000	-0.33333
Lozi	Africa	-2	5.75603	-17.83	26.00	19	0.20833	-0.40000
Lugbara	Africa	-2	6.01703	3.08	30.92	16	0.33333	-0.25000
Ma'di	Africa	-2	5.17190	3.25	31.50	18	0.25000	-0.33333
Mauritian Creole	Africa	-2	5.78104	-20.33	57.50	17	0.29167	-0.28571
Mbum	Africa	-2	4.70842	7.75	13.17	20	0.16667	-0.50000
Miya	Africa	-2	4.47712	10.92	9.67	16	0.33333	-0.25000
Mofu-Gudur	Africa	-2	4.77815	10.50	14.00	21	0.12500	-0.66667
Mongo	Africa	-2	5.60206	0.00	21.00	20	0.16667	-0.50000
Ndebele (in South Africa)	Africa	-2	5.76861	-25.33	29.00	18	0.25000	-0.33333
Ndumu	Africa	-2	3.63397	-1.67	13.58	19	0.20833	-0.40000
Ngambay	Africa	-2	5.87506	8.67	16.00	16	0.33333	-0.25000
Noni	Africa	-2	4.39794	6.42	10.58	18	0.25000	-0.33333
Noon	Africa	-2	4.47458	14.83	-16.83	13	0.45833	-0.18182
Nyamwezi	Africa	-2	6.07918	-5.00	33.00	19	0.20833	-0.40000
Oromo (Waata)	Africa	-2	3.69897	-3.33	39.83	20	0.16667	-0.50000
Qafar	Africa	-2	6.15817	12.00	42.00	21	0.12500	-0.66667
Shilluk	Africa	-2	5.24304	9.67	31.75	16	0.33333	-0.25000
Shona	Africa	-2	7.02956	-18.00	31.00	19	0.20833	-0.40000
Soninke	Africa	-2	6.04013	15.00	-10.50	19	0.20833	-0.40000
Susu	Africa	-2	6.01258	10.00	-13.00	20	0.16667	-0.50000
Temne	Africa	-2	6.07918	8.67	-13.08	16	0.33333	-0.25000
Tennet	Africa	-2	3.60206	4.42	32.50	18	0.25000	-0.33333
Tigrinya	Africa	-2	6.64835	14.50	38.50	20	0.16667	-0.50000
Turkana	Africa	-2	5.56249	3.00	35.50	12	0.50000	-0.16667
Uldeme	Africa	-2	4.02119	10.95	14.12	18	0.25000	-0.33333
Vai	Africa	-2	5.02119	6.92	-11.25	19	0.20833	-0.40000
Wolaytta	Africa	-2	6.09050	6.83	37.75	16	0.33333	-0.25000
Zande	Africa	-2	6.05767	4.00	26.00	15	0.37500	-0.22222
Agta (Central)	Asia	-2	2.89154	17.97	121.83	19	0.20833	-0.40000
Arabic (Gulf)	Asia	-2	6.36896	26.00	49.00	14	0.41667	-0.20000
Batak (Toba)	Asia	-2	6.30103	2.50	99.00	20	0.16667	-0.50000
Buli (in Indonesia)	Asia	-2	3.40209	1.00	128.50	21	0.12500	-0.66667
Chepang	Asia	-2	4.56593	27.67	84.75	15	0.37500	-0.22222
Chin (Siyin)	Asia	-2	4.00000	23.83	94.00	19	0.20833	-0.40000
Chin (Tiddim)	Asia	-2	5.53668	23.33	93.67	19	0.20833	-0.40000
Crimean Tatar	Asia	-2	5.65929	45.00	34.08	17	0.29167	-0.28571
Dumi	Asia	-2	1.69897	27.25	86.67	16	0.33333	-0.25000
Gondi	Asia	-2	6.29092	19.00	81.00	18	0.25000	-0.33333
Gujarati	Asia	-2	7.66376	23.00	72.00	18	0.25000	-0.33333
Javanese	Asia	-2	7.87799	-7.00	111.00	21	0.12500	-0.66667
Kapampangan	Asia	-2	6.27815	15.33	120.50	17	0.29167	-0.28571
Karen (Bwe)	Asia	-2	4.19590	19.50	97.00	18	0.25000	-0.33333
Kati (in Afghanistan)	Asia	-2	4.27184	35.50	70.00	20	0.16667	-0.50000
Kazakh	Asia	-2	6.91269	50.00	70.00	20	0.16667	-0.50000
Kokborok	Asia	-2	5.89818	24.33	92.50	15	0.37500	-0.22222
Lamani	Asia	-2	6.45743	17.00	77.00	18	0.25000	-0.33333
Lotha	Asia	-2	4.90309	26.50	94.25	18	0.25000	-0.33333
Mangghuer	Asia	-2	5.18184	36.00	102.00	18	0.25000	-0.33333
Manobo (Western Bukidnon)	Asia	-2	4.27953	7.67	124.75	21	0.12500	-0.66667
Maru	Asia	-2	5.01494	23.50	98.50	20	0.16667	-0.50000
Mikir	Asia	-2	5.67943	26.33	93.50	17	0.29167	-0.28571
Mising	Asia	-2	5.60206	28.50	94.83	18	0.25000	-0.33333
Mlabri (Minor)	Asia	-2	2.51055	18.50	101.00	18	0.25000	-0.33333
Naga (Zeme)	Asia	-2	4.48855	25.17	93.50	19	0.20833	-0.40000
Nias	Asia	-2	5.68124	1.00	97.75	17	0.29167	-0.28571
Nimboran	Asia	-2	3.30103	-2.50	140.17	20	0.16667	-0.50000
Nishi	Asia	-2	5.41664	27.50	93.50	20	0.16667	-0.50000
Palaung	Asia	-2	5.42739	22.67	96.67	21	0.12500	-0.66667
Pashto	Asia	-2	6.89887	33.00	67.00	19	0.20833	-0.40000
Sawu	Asia	-2	5.04139	-11.50	121.92	17	0.29167	-0.28571
Sedang	Asia	-2	5.00618	14.83	108.00	20	0.16667	-0.50000
Seediq	Asia	-2	3.67669	24.17	121.42	20	0.16667	-0.50000
Sindhi	Asia	-2	7.32964	26.00	69.00	21	0.12500	-0.66667
Tamagario	Asia	-2	3.54407	-6.42	139.25	21	0.12500	-0.66667
Tamang	Asia	-2	5.88832	28.00	85.25	18	0.25000	-0.33333
Tondano	Asia	-2	4.90309	1.25	125.00	19	0.20833	-0.40000
Ukrainian	Asia	-2	7.59596	49.00	33.00	17	0.29167	-0.28571
West Makian	Asia	-2	4.07918	0.50	127.58	15	0.37500	-0.22222
Adzera	Australia and Oceania	-2	4.31545	-6.25	146.25	18	0.25000	-0.33333
Anggor	Australia and Oceania	-2	3.10243	-3.75	141.17	19	0.20833	-0.40000
Arosi	Australia and Oceania	-2	3.82930	-10.25	161.33	19	0.20833	-0.40000
Arrernte (Mparntwe)	Australia and Oceania	-2	3.33746	-24.00	136.00	16	0.33333	-0.25000
Au	Australia and Oceania	-2	3.90309	-3.58	142.08	16	0.33333	-0.25000
Bali-Vitu	Australia and Oceania	-2	4.00000	-4.90	149.12	19	0.20833	-0.40000
Bilua	Australia and Oceania	-2	3.94151	-7.75	156.67	19	0.20833	-0.40000
Binandere	Australia and Oceania	-2	3.83897	-8.25	148.00	20	0.16667	-0.50000
Biri	Australia and Oceania	-2	1.69897	-20.50	146.50	18	0.25000	-0.33333
Broken	Australia and Oceania	-2	4.36922	-10.17	143.00	18	0.25000	-0.33333
Cèmuhî	Australia and Oceania	-2	3.31197	-20.83	165.17	19	0.20833	-0.40000
Dumu	Australia and Oceania	-2	3.42602	-2.67	141.30	16	0.33333	-0.25000
Futuna (East)	Australia and Oceania	-2	3.81954	-14.33	-178.17	21	0.12500	-0.66667
Golin	Australia and Oceania	-2	4.70846	-6.33	144.75	18	0.25000	-0.33333
Kairiru	Australia and Oceania	-2	3.54494	-3.33	143.58	18	0.25000	-0.33333
Kaliai-Kove	Australia and Oceania	-2	3.82930	-5.58	149.67	17	0.29167	-0.28571
Kiwai	Australia and Oceania	-2	3.98677	-8.00	143.50	17	0.29167	-0.28571
Kokota	Australia and Oceania	-2	2.72428	-8.00	159.13	19	0.20833	-0.40000
Kunimaipa	Australia and Oceania	-2	4.04139	-8.00	146.83	19	0.20833	-0.40000
Kuot	Australia and Oceania	-2	3.38021	-3.05	151.50	18	0.25000	-0.33333
Kwoma	Australia and Oceania	-2	3.47712	-4.17	142.75	18	0.25000	-0.33333
Longgu	Australia and Oceania	-2	3.27738	-9.75	160.67	19	0.20833	-0.40000
Mussau	Australia and Oceania	-2	3.69897	-1.45	149.62	21	0.12500	-0.66667
Namia	Australia and Oceania	-2	3.69408	-3.83	141.75	19	0.20833	-0.40000
Nasioi	Australia and Oceania	-2	4.00000	-6.33	155.58	15	0.37500	-0.22222
Nyulnyul	Australia and Oceania	-2	1.69897	-17.00	122.83	14	0.41667	-0.20000
Ömie	Australia and Oceania	-2	2.90309	-9.05	148.08	20	0.16667	-0.50000
Paita	Australia and Oceania	-2	2.97589	-22.08	166.50	20	0.16667	-0.50000
Panyjima	Australia and Oceania	-2	1.69897	-22.83	118.42	20	0.16667	-0.50000
Poko-Rawo	Australia and Oceania	-2	2.80618	-2.83	141.58	19	0.20833	-0.40000
Rao	Australia and Oceania	-2	3.77815	-4.75	144.50	20	0.16667	-0.50000
Saliba	Australia and Oceania	-2	3.36173	-10.58	150.72	17	0.29167	-0.28571
Siane	Australia and Oceania	-2	4.46207	-6.08	145.20	18	0.25000	-0.33333
Tawala	Australia and Oceania	-2	4.30103	-10.33	150.67	16	0.33333	-0.25000
Tungak	Australia and Oceania	-2	4.07918	-2.55	150.25	21	0.12500	-0.66667
Ungarinjin	Australia and Oceania	-2	1.91381	-16.33	126.00	14	0.41667	-0.20000
Ura	Australia and Oceania	-2	1.69897	-18.67	169.08	17	0.29167	-0.28571
Waskia	Australia and Oceania	-2	4.20243	-4.50	146.00	15	0.37500	-0.22222
Wirangu	Australia and Oceania	-2	1.69897	-32.00	134.00	20	0.16667	-0.50000
Yessan-Mayo	Australia and Oceania	-2	3.29842	-4.17	142.58	16	0.33333	-0.25000
Yukulta	Australia and Oceania	-2	1.69897	-17.33	138.83	15	0.37500	-0.22222
Altai (Southern)	Eurasia	-2	4.30103	51.00	87.00	21	0.12500	-0.66667
Alutor	Eurasia	-2	2.00000	61.00	165.00	20	0.16667	-0.50000
Avar	Eurasia	-2	5.77884	42.50	46.50	17	0.29167	-0.28571
Itelmen	Eurasia	-2	1.77815	57.00	157.50	19	0.20833	-0.40000
Khakas	Eurasia	-2	4.81164	53.00	90.00	19	0.20833	-0.40000
Kurmanji	Eurasia	-2	6.95969	38.00	42.00	18	0.25000	-0.33333
Mansi	Eurasia	-2	3.50297	62.00	62.00	16	0.33333	-0.25000
Shor	Eurasia	-2	3.97525	53.00	88.00	21	0.12500	-0.66667
Tatar	Eurasia	-2	6.20683	56.00	49.50	17	0.29167	-0.28571
Yakut	Eurasia	-2	5.55991	62.00	130.00	17	0.29167	-0.28571
Breton	Europe	-2	5.72650	48.00	-3.00	16	0.33333	-0.25000
Catalan	Europe	-2	6.82395	41.75	2.00	21	0.12500	-0.66667
Czech	Europe	-2	7.06164	50.00	15.00	16	0.33333	-0.25000
Maltese	Europe	-2	5.57043	35.92	14.42	17	0.29167	-0.28571
Romani (Ajia Varvara)	Europe	-2	5.71925	38.00	23.58	20	0.16667	-0.50000
Romani (Kalderash)	Europe	-2	6.17547	45.00	21.00	21	0.12500	-0.66667
Welsh	Europe	-2	5.72937	52.00	-3.00	11	0.54167	-0.15385
Cakchiquel	North America	-2	4.63347	14.50	-91.00	18	0.25000	-0.33333
Chatino (Yaitepec)	North America	-2	4.07918	16.25	-97.25	20	0.16667	-0.50000
Chinantec (Comaltepec)	North America	-2	3.30103	17.58	-96.42	16	0.33333	-0.25000
Chinantec (Palantla)	North America	-2	4.07918	18.83	-96.75	17	0.29167	-0.28571
Chinook (Lower)	North America	-2	1.69897	46.25	-123.50	16	0.33333	-0.25000
Comox	North America	-2	2.60206	50.17	-125.00	17	0.29167	-0.28571
Cora	North America	-2	3.90309	22.17	-104.83	14	0.41667	-0.20000
Huastec	North America	-2	3.24279	22.08	-99.33	19	0.20833	-0.40000
Maidu (Northeast)	North America	-2	1.69897	40.00	-120.67	14	0.41667	-0.20000
Mixtec (Peñoles)	North America	-2	4.12766	17.08	-96.92	18	0.25000	-0.33333
Mixtec (Yosondúa)	North America	-2	3.69897	16.92	-97.58	20	0.16667	-0.50000
Mopan	North America	-2	4.04040	16.58	-88.67	20	0.16667	-0.50000
Pech	North America	-2	2.99739	15.00	-85.50	20	0.16667	-0.50000
Siuslaw	North America	-2	1.69897	44.00	-124.00	17	0.29167	-0.28571
Takelma	North America	-2	1.69897	42.50	-123.00	10	0.58333	-0.14286
Tarahumara (Western)	North America	-2	4.17609	27.50	-108.00	20	0.16667	-0.50000
Tlapanec	North America	-2	4.51851	17.08	-99.00	18	0.25000	-0.33333
Tlingit	North America	-2	2.92686	59.00	-135.00	9	0.62500	-0.13333
Tol	North America	-2	2.54407	14.67	-87.00	18	0.25000	-0.33333
Tümpisa Shoshone	North America	-2	1.69897	37.00	-117.00	15	0.37500	-0.22222
Wappo	North America	-2	1.69897	38.50	-122.50	13	0.45833	-0.18182
Wiyot	North America	-2	1.69897	40.83	-124.17	17	0.29167	-0.28571
Yup'ik (Central)	North America	-2	4.00000	59.50	-160.00	9	0.62500	-0.13333
Bororo	South America	-2	2.92942	-16.00	-57.00	15	0.37500	-0.22222
Candoshi	South America	-2	3.47712	-4.17	-77.00	16	0.33333	-0.25000
Capanahua	South America	-2	2.58771	-7.00	-74.00	18	0.25000	-0.33333
Cashinahua	South America	-2	3.30103	-10.50	-71.83	20	0.16667	-0.50000
Cavineña	South America	-2	3.07188	-13.33	-66.50	18	0.25000	-0.33333
Ese Ejja	South America	-2	3.24846	-11.00	-66.00	18	0.25000	-0.33333
Ignaciano	South America	-2	3.65321	-15.17	-65.42	19	0.20833	-0.40000
Retuarã	South America	-2	2.47712	-0.50	-70.67	12	0.50000	-0.16667
Saramaccan	South America	-2	4.41497	4.50	-55.50	18	0.25000	-0.33333
Teribe	South America	-2	3.47784	9.33	-82.67	14	0.41667	-0.20000
Tucano	South America	-2	3.66567	0.50	-69.17	15	0.37500	-0.22222
Xokleng	South America	-2	2.39794	-24.50	-50.00	18	0.25000	-0.33333
Adioukrou	Africa	-1	5.00000	5.42	-4.58	18	0.25000	-0.16667
Afrikaans	Africa	-1	6.77567	-31.00	22.00	18	0.25000	-0.16667
Anufo	Africa	-1	5.13862	10.08	0.25	22	0.08333	-0.50000
Anywa	Africa	-1	4.98965	8.00	33.50	19	0.20833	-0.20000
Avokaya	Africa	-1	4.81291	4.67	30.00	19	0.20833	-0.20000
Awngi	Africa	-1	5.55264	10.83	36.67	21	0.12500	-0.33333
Bafia	Africa	-1	4.77815	5.00	11.17	21	0.12500	-0.33333
Baka (in Cameroon)	Africa	-1	4.45025	2.58	13.58	19	0.20833	-0.20000
Berber (Rif)	Africa	-1	6.23045	34.50	-4.00	18	0.25000	-0.16667
Berber (Siwa)	Africa	-1	3.69897	29.17	25.50	20	0.16667	-0.25000
Berta	Africa	-1	5.16672	10.33	34.67	13	0.45833	-0.09091
Bété	Africa	-1	5.11394	6.25	-6.25	23	0.04167	-1.00000
Bimoba	Africa	-1	5.07918	10.50	0.00	20	0.16667	-0.25000
Busa	Africa	-1	4.30103	9.67	4.00	20	0.16667	-0.25000
Dagbani	Africa	-1	5.90309	9.58	-0.50	19	0.20833	-0.20000
Dan	Africa	-1	5.97845	7.50	-8.00	20	0.16667	-0.25000
Dime	Africa	-1	3.81298	6.17	36.25	19	0.20833	-0.20000
Dinka	Africa	-1	5.50515	8.50	28.00	19	0.20833	-0.20000
Ewondo	Africa	-1	5.76170	4.00	12.00	18	0.25000	-0.16667
Fyem	Africa	-1	3.47712	9.58	9.33	17	0.29167	-0.14286
Gã	Africa	-1	5.77815	5.67	-0.17	20	0.16667	-0.25000
Gokana	Africa	-1	5.00000	4.58	7.33	18	0.25000	-0.16667
Jarawa (in Nigeria)	Africa	-1	5.17609	9.50	10.50	18	0.25000	-0.16667
Jur Mödö	Africa	-1	5.00000	6.00	30.00	19	0.20833	-0.20000
Kadugli	Africa	-1	4.91116	11.00	29.67	20	0.16667	-0.25000
Kamba	Africa	-1	6.38886	-1.50	38.00	19	0.20833	-0.20000
Kanakuru	Africa	-1	4.30103	10.00	12.00	17	0.29167	-0.14286
Karimojong	Africa	-1	5.56820	3.00	34.17	18	0.25000	-0.16667
Katla	Africa	-1	4.15253	11.83	29.33	18	0.25000	-0.16667
Kenga	Africa	-1	4.60206	12.00	18.00	18	0.25000	-0.16667
Kikuyu	Africa	-1	6.72811	-0.75	36.75	17	0.29167	-0.14286
Kirma	Africa	-1	4.80003	10.25	-4.83	21	0.12500	-0.33333
Kwangali	Africa	-1	4.92416	-18.00	19.50	18	0.25000	-0.16667
Laal	Africa	-1	2.87448	10.00	17.67	18	0.25000	-0.16667
Lamang	Africa	-1	4.60206	11.25	13.58	18	0.25000	-0.16667
Lelemi	Africa	-1	4.68931	7.33	0.50	20	0.16667	-0.25000
Luganda	Africa	-1	6.47943	0.50	32.17	17	0.29167	-0.14286
Lunda	Africa	-1	5.60206	-10.67	24.00	18	0.25000	-0.16667
Ma	Africa	-1	3.67210	3.50	28.00	20	0.16667	-0.25000
Maasai	Africa	-1	5.94596	-3.00	36.00	19	0.20833	-0.20000
Mada (in Cameroon)	Africa	-1	4.23045	10.83	14.17	21	0.12500	-0.33333
Majang	Africa	-1	4.18585	6.75	35.00	20	0.16667	-0.25000
Margi	Africa	-1	5.13033	11.00	13.00	13	0.45833	-0.09091
Masalit	Africa	-1	5.38115	13.33	22.00	15	0.37500	-0.11111
Matuumbi	Africa	-1	4.85733	-8.50	39.00	20	0.16667	-0.25000
Mbay	Africa	-1	4.94596	8.25	17.50	13	0.45833	-0.09091
Mooré	Africa	-1	6.70215	12.83	-1.25	20	0.16667	-0.25000
Moru	Africa	-1	4.84510	4.75	29.75	18	0.25000	-0.16667
Musgu	Africa	-1	4.93403	10.83	14.92	18	0.25000	-0.16667
Ndut	Africa	-1	4.54407	14.92	-16.92	20	0.16667	-0.25000
Ngizim	Africa	-1	4.90309	12.08	10.92	17	0.29167	-0.14286
Ngoni	Africa	-1	5.31175	-11.00	36.00	19	0.20833	-0.20000
Nkonya	Africa	-1	4.44716	7.17	0.25	18	0.25000	-0.16667
Nyimang	Africa	-1	4.84510	12.17	29.33	20	0.16667	-0.25000
Ogbronuagum	Africa	-1	4.07918	4.75	6.87	18	0.25000	-0.16667
Päri	Africa	-1	4.44716	5.00	32.50	14	0.41667	-0.10000
Pero	Africa	-1	4.39794	9.58	11.00	18	0.25000	-0.16667
Rendille	Africa	-1	4.50515	2.00	37.50	21	0.12500	-0.33333
Ron	Africa	-1	5.06070	9.00	8.75	21	0.12500	-0.33333
Runga	Africa	-1	4.63326	10.33	21.00	17	0.29167	-0.14286
Runyankore	Africa	-1	6.21569	-0.50	30.50	19	0.20833	-0.20000
Samba Leko	Africa	-1	4.79253	8.50	12.50	21	0.12500	-0.33333
Shabo	Africa	-1	2.60206	7.58	35.42	21	0.12500	-0.33333
So	Africa	-1	3.69897	2.58	34.75	12	0.50000	-0.08333
Sotho (Northern)	Africa	-1	6.56934	-24.00	29.00	19	0.20833	-0.20000
Tama	Africa	-1	4.79886	14.50	22.00	20	0.16667	-0.25000
Tem	Africa	-1	5.48728	8.67	0.50	20	0.16667	-0.25000
Teso	Africa	-1	6.10671	1.83	33.83	19	0.20833	-0.20000
Tikar	Africa	-1	4.39794	5.83	11.67	22	0.08333	-0.50000
Toussian	Africa	-1	4.29003	11.00	-4.67	20	0.16667	-0.25000
Tsogo	Africa	-1	4.07918	-1.50	11.33	21	0.12500	-0.33333
Tuareg (Ahaggar)	Africa	-1	4.79239	23.00	6.00	21	0.12500	-0.33333
Tunen	Africa	-1	4.54777	4.75	10.67	19	0.20833	-0.20000
Vagla	Africa	-1	4.13033	9.42	-2.42	22	0.08333	-0.50000
Xhosa	Africa	-1	6.85818	-32.00	27.00	19	0.20833	-0.20000
Yakoma	Africa	-1	5.04139	4.42	18.42	22	0.08333	-0.50000
Zarma	Africa	-1	6.34013	13.83	2.17	21	0.12500	-0.33333
Alune	Asia	-1	4.23661	-3.00	128.33	19	0.20833	-0.20000
Ambai	Asia	-1	4.00230	-1.83	136.50	18	0.25000	-0.16667
Angami	Asia	-1	5.03743	25.67	94.50	20	0.16667	-0.25000
Ao	Asia	-1	5.14922	26.58	94.67	16	0.33333	-0.12500
Apatani	Asia	-1	4.36173	27.50	93.75	19	0.20833	-0.20000
Arabic (Iraqi)	Asia	-1	7.17898	33.00	44.00	19	0.20833	-0.20000
Arabic (Palestinian)	Asia	-1	6.78852	32.00	35.25	22	0.08333	-0.50000
Atayal	Asia	-1	4.92598	24.50	121.33	16	0.33333	-0.12500
Azerbaijani	Asia	-1	7.38675	40.50	48.50	15	0.37500	-0.11111
Balinese	Asia	-1	6.59106	-8.33	115.25	22	0.08333	-0.50000
Balti	Asia	-1	5.52763	35.00	76.00	20	0.16667	-0.25000
Baluchi	Asia	-1	6.25648	28.00	62.00	21	0.12500	-0.33333
Bengali	Asia	-1	8.23317	24.00	90.00	19	0.20833	-0.20000
Bhojpuri	Asia	-1	7.42476	26.00	84.00	20	0.16667	-0.25000
Bikol	Asia	-1	6.39794	13.33	123.50	22	0.08333	-0.50000
Bodo	Asia	-1	5.78053	26.83	92.00	19	0.20833	-0.20000
Bontok	Asia	-1	4.60206	17.08	120.92	18	0.25000	-0.16667
Budukh	Asia	-1	3.00000	41.17	48.42	21	0.12500	-0.33333
Chang	Asia	-1	4.49136	26.33	94.75	18	0.25000	-0.16667
Galela	Asia	-1	4.89763	2.42	128.33	22	0.08333	-0.50000
Gallong	Asia	-1	5.04567	28.17	94.67	19	0.20833	-0.20000
Gilaki	Asia	-1	6.51388	37.33	50.00	21	0.12500	-0.33333
Hiligaynon	Asia	-1	6.84510	10.25	123.00	21	0.12500	-0.33333
Hmar	Asia	-1	4.69897	24.17	93.00	20	0.16667	-0.25000
Hmong Daw	Asia	-1	5.71172	26.00	105.00	22	0.08333	-0.50000
Irarutu	Asia	-1	3.60206	-3.00	133.50	19	0.20833	-0.20000
Jurchen	Asia	-1	1.69897	47.00	130.00	21	0.12500	-0.33333
Karaim	Asia	-1	1.69897	54.67	24.92	21	0.12500	-0.33333
Kei	Asia	-1	4.92942	-5.83	132.92	22	0.08333	-0.50000
Khalaj	Asia	-1	4.62435	35.00	50.00	18	0.25000	-0.16667
Khaling	Asia	-1	3.96792	27.50	86.67	18	0.25000	-0.16667
Kham	Asia	-1	4.00000	28.50	82.75	18	0.25000	-0.16667
Konjo	Asia	-1	5.09691	-5.47	120.33	18	0.25000	-0.16667
Kulung	Asia	-1	4.27152	27.50	87.00	20	0.16667	-0.25000
Ma'anyan	Asia	-1	5.17609	-2.00	115.00	22	0.08333	-0.50000
Mamanwa	Asia	-1	3.71198	9.42	125.50	21	0.12500	-0.33333
Manggarai	Asia	-1	5.69897	-8.50	120.33	20	0.16667	-0.25000
Meyah	Asia	-1	4.16976	-1.17	133.50	18	0.25000	-0.16667
