lang	nativeCountryArea	complexity	logpop2	lat	lon	missing	propPresent	complexityCentered
Vietnamese	Asia	-15	7.82891	10.50	106.50	2	0.91667	-0.68182
Yoruba	Africa	-14	7.28616	8.00	4.33	2	0.91667	-0.63636
English	Europe	-14	8.49045	52.00	0.00	0	1.00000	-0.58333
Oromo (Harar)	Africa	-13	6.65571	9.00	42.00	1	0.95833	-0.56522
Khmer	Asia	-13	7.12309	12.50	105.00	6	0.75000	-0.72222
Thai	Asia	-13	7.30600	16.00	101.00	5	0.79167	-0.68421
Maori	Australia and Oceania	-13	4.69897	-40.00	176.00	3	0.87500	-0.61905
German	Europe	-13	7.97952	52.00	10.00	0	1.00000	-0.54167
Ewe	Africa	-12	6.49310	6.33	0.42	2	0.91667	-0.54545
Khmu'	Asia	-12	5.68101	21.00	102.00	7	0.70833	-0.70588
French	Europe	-12	7.81197	48.00	2.00	0	1.00000	-0.50000
Latvian	Europe	-12	6.18860	57.00	24.00	3	0.87500	-0.57143
Spanish	Europe	-12	8.50826	40.00	-4.00	0	1.00000	-0.50000
Ndyuka	South America	-12	4.34506	5.00	-54.50	5	0.79167	-0.63158
Rapanui	South America	-12	3.53046	-27.00	-109.00	3	0.87500	-0.57143
Diola-Fogny	Africa	-11	5.55422	13.00	-16.00	4	0.83333	-0.55000
Ju|'hoan	Africa	-11	3.69897	-19.00	21.00	5	0.79167	-0.57895
Kera	Africa	-11	4.70349	9.83	15.08	5	0.79167	-0.57895
Krongo	Africa	-11	4.33622	10.50	30.00	0	1.00000	-0.45833
Supyire	Africa	-11	5.56110	11.50	-5.58	2	0.91667	-0.50000
Bawm	Asia	-11	4.13966	22.50	92.25	5	0.79167	-0.57895
Burmese	Asia	-11	7.50922	21.00	96.00	4	0.83333	-0.55000
Hmong Njua	Asia	-11	6.11079	28.00	105.00	6	0.75000	-0.61111
Indonesian	Asia	-11	7.36443	0.00	106.00	2	0.91667	-0.50000
Tukang Besi	Asia	-11	5.11394	-5.50	123.50	4	0.83333	-0.55000
Drehu	Australia and Oceania	-11	4.05454	-21.00	167.25	7	0.70833	-0.64706
Russian	Eurasia	-11	8.16146	56.00	38.00	1	0.95833	-0.47826
Yukaghir (Kolyma)	Eurasia	-11	1.69897	65.75	150.83	1	0.95833	-0.47826
Greek (Modern)	Europe	-11	7.08844	39.00	22.00	0	1.00000	-0.45833
Wari'	South America	-11	3.26316	-11.33	-65.00	4	0.83333	-0.55000
Grebo	Africa	-10	4.37475	5.00	-8.00	4	0.83333	-0.50000
Hausa	Africa	-10	7.38313	12.00	7.00	1	0.95833	-0.43478
Igbo	Africa	-10	7.25527	6.00	7.33	8	0.66667	-0.62500
Khoekhoe	Africa	-10	5.36866	-25.50	18.00	4	0.83333	-0.50000
Koyraboro Senni	Africa	-10	5.60206	16.00	0.00	3	0.87500	-0.47619
Sango	Africa	-10	5.60638	5.00	18.00	4	0.83333	-0.50000
Chrau	Asia	-10	4.35347	10.75	107.50	9	0.62500	-0.66667
Hindi	Asia	-10	8.25711	25.00	77.00	3	0.87500	-0.47619
Kannada	Asia	-10	7.54834	14.00	76.00	1	0.95833	-0.43478
Lepcha	Asia	-10	4.87982	27.17	88.50	5	0.79167	-0.52632
Mandarin	Asia	-10	8.94102	34.00	110.00	5	0.79167	-0.52632
Maybrat	Asia	-10	4.30103	-1.33	132.50	2	0.91667	-0.45455
Amele	Australia and Oceania	-10	3.72428	-5.25	145.58	2	0.91667	-0.45455
Fijian	Australia and Oceania	-10	5.52383	-17.83	178.00	4	0.83333	-0.50000
Tiwi	Australia and Oceania	-10	3.17609	-11.50	131.00	3	0.87500	-0.47619
Chukchi	Eurasia	-10	4.00000	67.00	-173.00	1	0.95833	-0.43478
Finnish	Europe	-10	6.71873	62.00	25.00	0	1.00000	-0.41667
Irish	Europe	-10	5.55023	53.00	-8.00	3	0.87500	-0.47619
Mixtec (Chalcatongo)	North America	-10	4.15996	17.05	-97.58	1	0.95833	-0.43478
