"","ISO","lang.family","lang.genus","native.country","native.country.area","language","lat","lon","mean.temp","sum.precip","sd.temp","growing.season","pop_log","complexity.bias","p.complexity.bias","mono.complexity.bias","open.complexity.bias","morphological.complexity.ld","morphological.complexity.ld.centered","scaled.LDT.ZM","scaled.LDT.H","scaled.LDT.TTR","stock","region","mean.dependency.length","information.density","syllable.rate","information.rate","mean.length","mean.aoa","normalized.vowel.diversity","normalized.consonant.diversity","normalized.tone.diversity","normalized.phoneme.diversity","distance.from.origin","area_log","perimeter_log","n.neighbors_log","sd.precip_log","ratio.L2.L1_log","n.L1.speakers_log","n.L2.speakers_log","n.phonemes_log","n.consonants_log","n.vowels_log","n.sonorants_log","n.obstruents_log","n.monophthongs_log","n.qual.monophthongs_log","n.tones_log","morphological.complexity_log"
"1","cat","Indo-European","Romance","Spain","Europe","catalan",41.75,2,15.800025,49.822625,17.028375,9.75,6.82395,0.401667929,0.273216297,0.22001229,0.357893264,-2,-0.66667,-0.309356425,-0.318512138,-0.323328175,"Indo-European","Europe",18.5,NA,NA,NA,3.95033112582781,4.19231543624161,1.3900889,0.12048546,-0.7687792,0.247265066,7632.806,14.1277319995579,13.9043642576681,1.87180217690159,1.64994145625431,-0.600492271961037,16.025440742798,15.4249484703984,3.66356164612965,3.29583686600433,2.484906649788,2.63905732961526,2.56494935746154,2.07944154167984,2.07944154167984,NA,2.56494935746154
"2","eng","Indo-European","Germanic","United Kingdom","Europe","english",52,0,10.400145,49.67513,7.93249,8.210026,8.49045,NA,NA,NA,NA,-14,-0.58333,-0.284163566,-0.643150224,-0.507225132,"Indo-European","Europe",20.7,0.91,6.19,1.08,3.45,3.92147157190635,1.3900889,0.12048546,-0.7687792,0.247265066,7897.817,17.9130717628087,NA,3.28708407489473,1.64211747111371,0.0738852434943927,19.6415226682225,19.7154079115468,3.68887945411394,3.29583686600433,2.56494935746154,1.94591014905531,2.99573227355399,2.56494935746154,2.07944154167984,NA,2.484906649788
"3","fra","Indo-European","Romance","Switzerland","Europe","french",48,2,10.4703754716981,52.3178867924528,6.95769811320755,8.90107735849057,7.81197,0.381641634,0.243687546,0.255211702,0.343530815,NA,NA,-0.050917209,-0.064920956,-0.288059605,"Indo-European","Europe",18.7,0.74,7.18,0.99,3.55,NA,1.3900889,0.12048546,-0.7687792,0.247265066,7651.918,16.1729082509438,15.5590329569133,2.76474554477876,1.76699174375389,-0.093537929767567,18.2997870665124,18.2062491332402,3.68887945411394,3.13549421592915,2.83321334405622,2.30258509299405,2.56494935746154,2.83321334405622,2.484906649788,NA,2.83321334405622
"4","por","Indo-European","Romance","Portugal","Europe","portuguese",39,-8,15.7578090909091,54.5903939393939,32.4133939393939,7.97979696969697,8.24909,0.451696463,0.330577823,0.292785563,0.402134553,NA,NA,-0.093618157,-0.003421397,-0.217360371,"Indo-European","Europe",19.1,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,16.0280756434846,15.8617214004828,2.39789527279837,1.67174838513232,-2.3454803602597,19.0231918042529,16.6777114388937,3.63758615972639,3.13549421592915,2.70805020110221,2.30258509299405,2.56494935746154,2.70805020110221,1.94591014905531,NA,2.56494935746154
"5","spa","Indo-European","Romance","Spain","Europe","spanish",40,-4,14.7713026315789,35.2508684210526,15.1995263157895,6.55263157894737,8.50826,0.395886944,0.262181678,0.233440038,0.338645961,NA,NA,-0.321932557,-0.488844134,-0.450343698,"Indo-European","Europe",19.2,0.63,7.82,0.98,4.6625,4.34826086956522,-0.4846364,0.9579338,-0.7687792,-0.098493936,8163.111,16.2721297335122,16.174363680252,2.67797274586494,1.92945673394893,-1.18452609330162,19.6539970020913,18.4694709081218,3.2188758248682,2.99573227355399,1.6094379124341,2.19722457733622,2.39789527279837,1.6094379124341,1.6094379124341,NA,2.94443897916644
"6","arz","Afro-Asiatic","Semitic","Egypt","Africa","arabicegyptian",30,31,21.0072222222222,2.49588888888889,2.85911111111111,0.0893666666666667,7.66578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.575,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,4153.443,15.0113191254211,14.6825509598089,1.38629436111989,1.69227875296204,NA,NA,NA,4.20469261939097,4.06044301054642,2.19722457733622,2.484906649788,3.8286413964891,2.19722457733622,1.38629436111989,NA,2.94443897916644
"7","arb","Afro-Asiatic","Semitic","Yemen","Asia","arabic",25,42,NA,NA,NA,NA,8.31387,0.164882675,0.01504097,0.151904211,0.104776073,NA,NA,1.159253818,1.32094036,1.514096938,"Semitic","N Africa",16.4,NA,NA,NA,4.57327586206897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.246274883301043,19.074567210559,19.3208420938966,NA,NA,NA,NA,NA,NA,NA,NA,2.63905732961526
"8","afb","Afro-Asiatic","Semitic","Saudi Arabia","Asia","arabicgulf",26,49,25.651525,10.26825,12.547375,0.805475,6.36896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.275,NA,NA,NA,NA,NA,NA,15.6004141720253,15.0694064400262,2.38774290133435,1.93224759714202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221
"9","ben","Indo-European","Indic","India","Asia","bengali",24,90,25.6542,169.112444444444,155.335444444444,7.38046666666667,8.23317,0.170295782,0.005742663,0.10938867,0.12692388,NA,NA,0.916961407,0.979528903,0.826555144,"Indo-European","Indic",24.1,NA,NA,NA,4.075,NA,1.3900889,0.9579338,-0.7687792,0.526414511,9970.793,15.4868789685987,11.0893014778711,3.59731226058845,1.35577501436981,-0.693924370493817,18.9839267916567,18.2900024203102,3.97029191355212,3.58351893845611,2.83321334405622,2.56494935746154,3.13549421592915,2.83321334405622,2.30258509299405,NA,2.484906649788
"10","dan","Indo-European","Germanic","Denmark","Europe","danish",56,10,7.6049,58.026875,16.50375,6.090275,6.72426,0.510838791,0.376817384,0.393985757,0.474205672,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,3.85,3.40297658862876,NA,NA,NA,NA,NA,14.6281757127484,15.4723502426262,1.94591014905531,1.84188802306861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.30258509299405
