,X,language,lower.ci,corr,upper.ci,p.corr,mono.cor,open.cor,checked,mean.length
1,1,english,0.608558099,0.660054448,0.705759131,0.568336444,0.548071423,0.629200321,yes,5.635270541
2,2,afrikaans,0.472745382,0.536195309,0.596068282,0.414830124,0.400452461,0.501775982,no,6.060674157
3,3,albanian,0.164451532,0.250572705,0.332792407,0.084867537,0.178381806,0.174521636,no,7.012448133
4,4,arabic,0.084971988,0.164882675,0.249039089,0.01504097,0.151904211,0.104776073,no,9.0501002
5,5,armenian,0.333745093,0.415663261,0.493078525,0.30147607,0.272546204,0.382974129,no,13.86965377
6,6,azerbaijani,0.200200122,0.282797384,0.367612006,0.181506393,0.173837996,0.24607037,no,7.104925054
7,7,basque,0.341103723,0.416244056,0.487074951,0.282812235,0.283121614,0.400411865,no,7.169491525
8,8,belarusian,0.325817005,0.408573138,0.489195578,0.302593471,0.237511572,0.374351689,no,12.92152918
9,9,bengali,0.078512409,0.170295782,0.282071043,0.005742663,0.10938867,0.12692388,no,18.59638554
10,10,bosnian,0.354839072,0.427151381,0.49837566,0.283437139,0.29287782,0.398650168,yes,6.629098361
11,11,bulgarian,0.326440774,0.408321315,0.492329085,0.275765683,0.21855406,0.354327571,no,12.96593186
12,12,catalan,0.320645963,0.401667929,0.47916851,0.273216297,0.22001229,0.357893264,no,6.525104603
13,13,cebuano,0.145662384,0.240255267,0.3314013,0.161654422,0.152780982,0.189064353,no,8.058495822
14,14,chinese,0.28076577,0.353643189,0.420182705,0.233238052,0.31251465,0.312840159,no,5.46492986
15,15,croatian,0.353603832,0.427731866,0.496889305,0.285544917,0.285585836,0.405718594,no,6.693415638
16,16,czech,0.275075364,0.359396615,0.441980356,0.215136338,0.231852719,0.306104197,no,7.020661157
17,17,danish,0.433934235,0.510838791,0.581116774,0.376817384,0.393985757,0.474205672,no,6.161904762
18,18,dutch,0.397735442,0.474020627,0.547729663,0.331354159,0.310162639,0.437069246,no,6.602173913
19,19,esperanto,0.377620486,0.445257971,0.511361207,0.30451177,0.344394992,0.394565976,no,6.381263617
20,20,estonian,0.323083447,0.401016262,0.476271637,0.274201481,0.273822452,0.375021071,no,6.595876289
21,21,filipino,0.261368107,0.334969299,0.404850502,0.198529552,0.240701039,0.296280941,no,8.888429752
22,22,finnish,0.241906577,0.32625017,0.404286752,0.194536129,0.222199754,0.295408485,no,7.361396304
23,23,french,0.299821199,0.381641634,0.464260508,0.243687546,0.255211702,0.343530815,yes,6.847695391
24,24,galician,0.356293985,0.43620652,0.508393822,0.316421331,0.289942651,0.385766756,no,6.716049383
25,25,georgian,0.301921908,0.391881002,0.475101868,0.296647137,0.283574752,0.376557817,no,21.46849315
26,26,german,0.371864487,0.448203925,0.518281208,0.328909055,0.300133702,0.399168584,no,6.76344086
27,27,greek,0.241384045,0.323271874,0.402187982,0.168170791,0.213950153,0.257543324,no,13.74044266
28,28,gujarati,0.215300637,0.298837256,0.38256428,0.162468617,0.220601083,0.255791666,no,16.20081967
29,29,haitian.creole,0.247924855,0.33031596,0.408491658,0.235482796,0.213983533,0.293067324,no,6.297008547
30,30,hausa,0.236502497,0.328842723,0.417689313,0.247043062,0.259555406,0.290801125,no,6.778378378
31,31,hebrew,0.205964681,0.296163843,0.377914121,0.169135177,0.258714921,0.256773105,yes,9.064516129
32,32,hindi,0.278795608,0.354888164,0.429393402,0.235757543,0.271638936,0.305842297,no,16.27911647
