language,genus_pk,WALS,ISO,latitude,longitude,macroarea,name,pk
aari,9,aar,aiw,6,36.58333333,Africa,Aari,1668
abau,367,aba,aau,-4,141.25,Papunesia,Abau,968
abaza,325,abz,abq,44,42,Eurasia,Abaza,908
abenakiwestern,17,abw,abe,44,-72.25,North America,Abenaki (Western),267
abidji,275,abd,abi,5.666666667,-4.583333333,Africa,Abidji,628
abipon,543,abi,axb,-29,-61,South America,Abipí_n,2339
abkhaz,325,abk,abk,43.08333333,41,Eurasia,Abkhaz,2534
abui,417,abv,abz,-8.25,124.6666667,Papunesia,Abui,2644
abun,493,abu,kgr,-0.5,132.5,Papunesia,Abun,2245
acehnese,519,ace,ace,5.5,95.5,Eurasia,Acehnese,2343
achagua,549,acg,aca,4.416666667,-72.25,South America,Achagua,1786
achang,380,acn,acn,25,98.5,Eurasia,Achang,1289
ache,457,ach,guq,-25.25,-55.16666667,South America,Achí©,1153
achi,250,aci,"acc, acr",15.16666667,-90.5,North America,Achí_,2
acholi,320,acl,ach,3,32.66666667,Africa,Acholi,1886
achuar,197,acu,acu,-2.66667,-76,South America,Achuar,2674
achumawi,173,acm,acv,41.5,-121,North America,Achumawi,2069
acoma,209,aco,kjq,34.91666667,-107.5833333,North America,Acoma,2438
adamorobesignlanguage,330,ada,ads,5.833333333,-0.166666667,Africa,Adamorobe Sign Language,268
adang,417,adg,adn,-8.2,124,Papunesia,Adang,2645
adioukrou,275,adi,adj,5.416666667,-4.583333333,Africa,Adioukrou,1821
adygheabzakh,325,ady,ady,45.23333333,40.58333333,Eurasia,Adyghe (Abzakh),1436
adygheshapsugh,325,ash,ady,45,38.75,Eurasia,Adyghe (Shapsugh),3
adyghetemirgoy,325,adt,ady,45.21666667,39.7,Eurasia,Adyghe (Temirgoy),269
adynyamathanha,558,adn,adt,-30.5,139.5,Australia,Adynyamathanha,1340
adzera,87,adz,adz,-6.25,146.25,Papunesia,Adzera,1494
aekyom,101,awi,awi,-5.75,141.4166667,Papunesia,Aekyom,639
afrikaans,181,afr,afr,-31,22,Africa,Afrikaans,1380
agarabi,430,aga,agd,-6.166666667,146,Papunesia,Agarabi,1669
aghem,274,agh,agq,6.666666667,10,Africa,Aghem,1381
aghu,445,ahu,ahh,-6.166666667,140.1666667,Papunesia,Aghu,1015
aghul,267,agl,agx,41.75,47.66666667,Eurasia,Aghul,853
agtacentral,513,agc,agt,17.96666667,121.8333333,Papunesia,Agta (Central),1822
agtadupaningan,513,agd,duo,18,122.0833333,Papunesia,Agta (Dupaningan),2630
aguacatec,250,agu,agu,15.41666667,-91.33333333,North America,Aguacatec,1060
aguaruna,197,agr,agr,-5,-78,South America,Aguaruna,780
ahtna,262,aht,aht,62,-145,North America,Ahtna,1382
aikana,528,aik,tba,-12.66666667,-60.66666667,South America,Aikaníç,1290
ainu,14,ain,ain,43,143,Eurasia,Ainu,2486
aizi,277,aiz,ahp,5.25,-4.5,Africa,Aizi,1154
aja,301,aja,aja,7.333333333,25.66666667,Africa,Aja,1099
ajagbe,275,ajg,ajg,7,1.75,Africa,Ajagbe,2589
ajie,87,aji,aji,-21.33333333,165.5,Papunesia,Ajií‚,270
aka,274,aka,axk,2.666666667,16.25,Africa,Aka,4
akabiada,163,akb,abj,11.66666667,92.5,Eurasia,Aka-Biada,5
akacari,163,akc,aci,13.5,93,Eurasia,Aka-Cari,6
akakede,163,akk,akx,12.75,92.75,Eurasia,Aka-Kede,7
akan,275,akn,aka,6.5,-1.25,Africa,Akan,2309
akawaio,119,akw,ake,6,-59.5,South America,Akawaio,1291
akha,380,akh,ahk,21.83333333,99.83333333,Eurasia,Akha,1712
akhvakh,269,axv,akv,42.33333333,46.33333333,Eurasia,Akhvakh,271
aklanon,513,akl,akl,11.58333333,122.3333333,Papunesia,Aklanon,629
akwa,286,awk,png,10.08333333,6.333333333,Africa,Akwa,8
alaala,87,all,nrz,-8.916666667,146.75,Papunesia,Ala'ala,1437
alabama,260,abm,akz,32.33333333,-87.41666667,North America,Alabama,1787
alagwa,1,agw,wbj,-5.5,35.75,Africa,Alagwa,969
alamblak,370,ala,amp,-4.666666667,143.3333333,Papunesia,Alamblak,2480
alas,521,alx,btz,3.666666667,97.83333333,Papunesia,Alas,9
alawa,556,alw,alh,-15.16666667,134.25,Australia,Alawa,2169
albanian,190,alb,"aln, als",41,20,Eurasia,Albanian,2374
aleut,157,ale,ale,54,-166,North America,Aleut,1788
aleuteastern,157,aea,ale,54.75,-164,North America,Aleut (Eastern),1292
algonquin,17,alg,alq,46,-77,North America,Algonquin,272
alladian,275,ald,ald,5.166666667,-4.333333333,Africa,Alladian,1210
allentiac,177,alc,,-31,-68,South America,Allentiac,497
alsatian,181,alt,gsw,48.5,7.5,Eurasia,Alsatian,10
alsea,328,als,aes,44.66666667,-123.9166667,North America,Alsea,1061
altaisouthern,19,aso,alt,51,87,Eurasia,Altai (Southern),498
alune,75,aln,alp,-3,128.3333333,Papunesia,Alune,1858
alutiiq,158,atq,ems,57,-157,North America,Alutiiq,854
alutor,139,alu,alr,61,165,Eurasia,Alutor,499
alyawarra,558,aly,aly,-22.5,135,Australia,Alyawarra,2122
ama,229,amm,amm,-4.216666667,141.6166667,Papunesia,Ama,2652
amahuaca,342,amc,amc,-10.5,-72.5,South America,Amahuaca,2054
amanab,110,amn,amn,-3.583333333,141.25,Papunesia,Amanab,1581
amara,87,ama,aie,-5.666666667,148.5,Papunesia,Amara,1100
amarakaeri,168,amk,amr,-12.5,-70.5,South America,Amarakaeri,909
ambaelolovolinortheast,87,aml,omb,-15.41666667,167.8833333,Papunesia,Ambae (Lolovoli Northeast),1582
ambai,79,amq,amk,-1.833333333,136.5,Papunesia,Ambai,1789
ambulas,368,amb,abt,-3.833333333,143,Papunesia,Ambulas,1919
amdo,389,amd,adx,35,100,Eurasia,Amdo,273
amdothemchen,389,amt,adx,38,98,Eurasia,Amdo (Themchen),2614
amele,437,ame,aey,-5.25,145.5833333,Papunesia,Amele,2538
americansignlanguage,330,asl,ase,39,-78,North America,American Sign Language,274
amharic,10,amh,amh,10,38,Africa,Amharic,2387
amis,539,ami,ami,23.33333333,121.3333333,Papunesia,Amis,910
amo,286,amo,amo,10.33333333,8.666666667,Africa,Amo,1920
ampeeli,449,ape,apz,-6.75,146.0833333,Papunesia,Ampeeli,630
amuzgo,337,amz,amu,16.83333333,-98,North America,Amuzgo,1495
anamuxra,437,amx,imi,-4.666666667,145,Papunesia,Anamuxra,1293
andi,269,anx,ani,42.75,46.25,Eurasia,Andi,11
andoke,22,adk,ano,-0.666666667,-72,South America,Andoke,1887
anejom,87,anj,aty,-20.2,169.8,Papunesia,Anejom,2035
anem,23,ane,anz,-5.583333333,149.0833333,Papunesia,AníÈm,1859
angaatiha,449,ant,agm,-7.216666667,146.25,Papunesia,Angaatiha,1438
angami,386,agm,"njm, nri",25.66666667,94.5,Eurasia,Angami,1823
angas,6,anc,anc,9.5,9.5,Africa,Angas,2070
anggor,365,ang,agg,-3.75,141.1666667,Papunesia,Anggor,1713
angolar,331,ago,aoa,0.25,6.5,Africa,Angolar,631
anguthimri,560,agt,lnj,-12.33333333,141.8333333,Australia,Anguthimri,1670
ani,210,ani,hnh,-18.91666667,21.91666667,Africa,//Ani,2090
anindilyakwa,41,ann,aoi,-14,136.5,Australia,Anindilyakwa,1341
anong,385,ano,nun,27.33333333,98.75,Eurasia,Anong,781
anufo,275,anu,cko,10.08333333,0.25,Africa,Anufo,500
anyi,275,ayi,any,7,-3.5,Africa,Anyi,1016
anywa,320,any,anu,8,33.5,Africa,Anywa,1946
ao,386,ao,njo,26.58333333,94.66666667,Eurasia,Ao,2170
apachechiricahua,262,apc,apm,33.25,-108,North America,Apache (Chiricahua),632
apachejicarilla,262,apj,apj,36.58333333,-104,North America,Apache (Jicarilla),501
apachewestern,262,apw,apw,33.75,-110,North America,Apache (Western),1583
apalai,119,apl,apy,0,-54,South America,Apalaí_,2171
apatani,382,apt,apt,27.5,93.75,Eurasia,Apatani,1746
apinaye,238,api,apn,-5.5,-48,South America,Apinayí©,2071
apucikwar,163,apk,apq,12.16666667,92.83333333,Eurasia,A-Pucikwar,1
apurina,534,apu,apu,-9,-67,South America,Apuriní£,2472
arabana,558,abn,ard,-28.25,136.25,Australia,Arabana,1860
arabela,509,arb,arl,-2,-75.16666667,South America,Arabela,1631
arabicabbechechad,10,abb,shu,13.83333333,20.83333333,Africa,Arabic (Abbí©chí© Chad),275
arabicbahrain,10,abh,abv,26,50.5,Eurasia,Arabic (Bahrain),12
arabicbanihassan,10,ahs,mey,20,-10,Africa,Arabic (Bani-Hassan),502
arabicbeirut,10,abe,apc,33.91666667,35.5,Eurasia,Arabic (Beirut),633
arabicbornonigerian,10,arn,shu,8.583333333,12.41666667,Africa,Arabic (Borno Nigerian),13
arabiceasternlibyan,10,ael,ayl,32,22,Africa,Arabic (Eastern Libyan),634
arabicegyptian,10,aeg,arz,30,31,Africa,Arabic (Egyptian),2518
arabicgulf,10,arg,afb,26,49,Eurasia,Arabic (Gulf),2258
arabichijazi,10,arh,acw,26,38,Eurasia,Arabic (Hijazi),503
arabiciraqi,10,arq,acm,33,44,Eurasia,Arabic (Iraqi),1714
arabickormakiti,10,ako,acy,35.25,33.5,Eurasia,Arabic (Kormakiti),504
arabickuwaiti,10,arj,afb,29.5,47.5,Eurasia,Arabic (Kuwaiti),2604
arabiclebanese,10,arl,apc,34,36,Eurasia,Arabic (Lebanese),970
arabic,10,ams,arb,25,42,Eurasia,Arabic (Modern Standard),1584
arabicmoroccan,10,amr,ary,34,-6,Africa,Arabic (Moroccan),2199
arabicnegev,10,arv,ajp,30.5,34.75,Eurasia,Arabic (Negev),635
arabicnorthlevantinespoken,10,anl,apc,33.75,36,Eurasia,Arabic (North Levantine Spoken),505
arabicpalestinian,10,apa,ajp,32,35.25,Eurasia,Arabic (Palestinian),855
arabicsanani,10,ars,ayn,16,44,Eurasia,Arabic (San'ani),636
arabicsyrian,10,asy,apc,34,38,Eurasia,Arabic (Syrian),2036
arabictunisian,10,atu,aeb,36.75,10.25,Africa,Arabic (Tunisian),911
arakanesemarma,380,akm,mhv,21.5,92.5,Eurasia,Arakanese (Marma),14
araki,87,ark,akr,-15.66666667,166.9166667,Papunesia,Araki,506
aralletabulahan,525,atb,atq,-2.75,119.25,Papunesia,Aralle-Tabulahan,507
arandai,247,ard,jbj,-2.083333333,133,Papunesia,Arandai,15
araona,403,ana,aro,-12.33333333,-67.75,South America,Araona,2388
arapaho,17,aho,arp,40,-103,North America,Arapaho,508
arapeshabu,427,aab,,-3.45,142.95,,Arapesh (Abu),1101
arapeshmountain,427,arp,ape,-3.466666667,143.1666667,Papunesia,Arapesh (Mountain),2440
arawak,550,ara,arw,5.5,-55.16666667,South America,Arawak,2200
arbore,545,abo,arv,5,36.75,Africa,Arbore,1211
archi,267,arc,aqc,42,46.83333333,Eurasia,Archi,2274
areare,87,arx,alu,-9.25,161.1666667,Papunesia,'Are'are,276
aribwatsa,87,ari,laz,-6.716666667,147,Papunesia,Aribwatsa,856
arikara,115,akr,ari,45.5,-100.5,North America,Arikara,637
armenian,189,arm,hye,40,45,Eurasia,Armenian (Eastern),2391
armenian,189,arz,hye,32.66666667,51.66666667,Eurasia,Armenian (Iranian),16
armenian,189,arw,hye,38.5,43.5,Eurasia,Armenian (Western),2016
aroplokep,87,alk,apr,-5.383333333,147.05,Papunesia,Arop-Lokep,1632
arosi,87,aro,aia,-10.25,161.3333333,Papunesia,Arosi,1947
arrernte,558,arr,"aer, are",-24,134,Australia,Arrernte,17
arrerntemparntwe,558,amp,aer,-24,136,Australia,Arrernte (Mparntwe),2326
arrerntewestern,558,awe,are,-24,132.5,Australia,Arrernte (Western),1439
asmat,447,asm,tml,-5.5,138.5,Papunesia,Asmat,2442
assamese,182,ass,asm,26,93,Eurasia,Assamese,1715
asturian,184,ast,ast,43.25,-6,Eurasia,Asturian,18
asurini,457,asu,asu,-3.5,-49.5,South America,Asuriní_,857
atacameno,219,atm,kuz,-23,-69,South America,Atacameí±o,858
atakapa,27,atk,aqp,30,-93.5,North America,Atakapa,1824
atayal,89,ata,tay,24.5,121.3333333,Papunesia,Atayal,2143
atchin,87,atc,upv,-16,167.3333333,Papunesia,Atchin,912
athpare,512,ath,aph,27,87.33333333,Eurasia,Athpare,1888
atikamekw,17,ati,atj,48,-74,North America,Atikamekw,277
atsugewi,173,ats,atw,40.75,-121,North America,Atsugewi,971
au,428,au,avt,-3.583333333,142.0833333,Papunesia,Au,1974
aulua,87,aul,aul,-16.33333333,167.6666667,Papunesia,Aulua,19
auslan,330,aus,asf,-30,145,Australia,Auslan,278
auyana,430,auy,auy,-6.5,145.75,Papunesia,Auyana,20
avar,269,ava,ava,42.5,46.5,Eurasia,Avar,2275
avatime,275,avt,avn,6.833333333,0.416666667,Africa,Avatime,21
avikam,275,avk,avi,5.166666667,-5.5,Africa,Avikam,2591
avokaya,304,avo,avu,4.666666667,30,Africa,Avokaya,1496
awa,430,awa,awb,-6.666666667,145.75,Papunesia,Awa,1585
awadhi,182,awd,awa,27.5,81.5,Eurasia,Awadhi,638
awapit,106,awp,kwi,1.5,-78.25,South America,Awa Pit,2476
awngi,7,awn,awn,10.83333333,36.66666667,Africa,Awngi,1633
awtuw,369,awt,kmn,-3.583333333,142,Papunesia,Awtuw,2288
awyi,110,awy,auw,-2.916666667,140.5833333,Papunesia,Awyi,913
ayiwo,87,ayw,nfl,-10.33333333,166.25,Papunesia,Ayiwo,1155
aymara central,102,aym,"ayc, ayr",-17,-69,South America,Aymara (Central),2392
aynu,19,ayn,aib,39.5,76,Eurasia,Aynu,22
ayoman,196,ayo,,11,-69,,Ayomíçn,1062
ayoreo,508,ayr,ayo,-20.25,-59.25,South America,Ayoreo,1017
azariiranian,19,azi,azb,37.5,47,Eurasia,Azari (Iranian),1497
azerbaijani,19,aze,"azb, azj",40.5,48.5,Eurasia,Azerbaijani,2144
baale,322,blj,koe,6.5,34.5,Africa,Baale,509
babole,274,bbl,bvx,1.083333333,17.25,Africa,Babole,1342
babungo,274,bab,bav,6.116666667,10.41666667,Africa,Babungo,2246
bachamal,43,bac,wdj,-13.16666667,130.1666667,Australia,Bachamal,1212
badaga,149,bdg,bfq,11.66666667,76.75,Eurasia,Badaga,23
bade,6,bad,bde,12.83333333,10.5,Africa,Bade,279
badimaya,559,bdm,bia,-27.66666667,118,Australia,Badimaya,1671
bafia,274,bfi,ksf,5,11.16666667,Africa,Bafia,1156
bafut,274,baf,bfd,6.25,9.916666667,Africa,Bafut,1157
bagasitemu,291,bgs,bsp,10.5,-14.5,Africa,Baga Sitemu,914
bagirmi,305,bag,bmi,11.66666667,16,Africa,Bagirmi,2462
bagiro,305,bgr,fuu,4.333333333,20.58333333,Africa,Bagiro,1634
bagri,182,bgi,bgq,29.58333333,74.33333333,Eurasia,Bagri,24
bagvalal,269,bgv,kva,42.58333333,46.16666667,Eurasia,Bagvalal,1213
baham,488,bdw,bdw,-3.166666667,132.6666667,Papunesia,Baham,2646
bahinemo,370,bhn,bjh,-4.583333333,142.8333333,Papunesia,Bahinemo,640
bahnarpleibongmangyang,63,bpb,bdq,13.83333333,108.3333333,Eurasia,Bahnar (Plei Bong-Mang Yang),280
bai,381,bai,bca,26,100,Eurasia,Bai,2055
baining,104,bng,byx,-4.583333333,152,Papunesia,Baining,1440
bajausama,76,baj,bdl,-4.333333333,123,Papunesia,Bajau (Sama),1948
bajauwestcoast,76,bwc,bdr,6.333333333,116.3333333,Papunesia,Bajau (West Coast),2632
bakaincameroon,287,bak,bkc,2.583333333,13.58333333,Africa,Baka (in Cameroon),1825
bakainsudan,305,bka,bdh,4.833333333,29.25,Africa,Baka (in Sudan),1441
bakairi,119,bki,bkq,-14,-55,South America,Bakairí_,1214
bakueri,274,bku,bri,4.25,9.25,Africa,Bakueri,1343
bakundu,274,bkn,bdu,4.833333333,9.333333333,Africa,Bakundu,510
balangao,514,blg,blw,17.16666667,121.1666667,Papunesia,Balangao,641
balanta,276,blz,"bjt, ble",12.25,-15.33333333,Africa,Balanta,1158
balantak,526,blk,blz,-0.833333333,123.25,Papunesia,Balantak,642
balinese,519,bal,ban,-8.333333333,115.25,Papunesia,Balinese,1294
balivitu,87,bvi,"bbn, wiv",-4.9,149.1166667,Papunesia,Bali-Vitu,1537
balti,389,blt,bft,35,76,Eurasia,Balti,1586
baluchi,183,blc,bgp,28,62,Eurasia,Baluchi,1018
balyku,559,bly,nad,-22,120,Australia,Balyku,2558
bambam,525,bbm,ptu,-3.083333333,119.0833333,Papunesia,Bambam,643
bambara,292,bam,bam,12.5,-7.5,Africa,Bambara,2375
bamun,274,bmn,bax,5.5,10.91666667,Africa,Bamun,27
bana,5,ban,bcw,10.41666667,13.58333333,Africa,Bana,28
banawa,24,bna,jaa,-7,-65,South America,Banawíç,644
bandi,292,bnd,bza,8.083333333,-10.25,Africa,Bandi,29
bandjalang,557,bnj,bdy,-28.75,153,Australia,Bandjalang,1861
bandjalangcasino,557,bca,bdy,-28.91666667,153,Australia,Bandjalang (Casino),281
bandjalangwaalubal,557,bwa,bdy,-29.08333333,152.5833333,Australia,Bandjalang (Waalubal),859
bandjalangyugumbir,557,byu,bdy,-27.91666667,153,Australia,Bandjalang (Yugumbir),1344
banggai,526,bgg,bgz,-1.416666667,123.1666667,Papunesia,Banggai,860
banggarla,558,bnl,bjb,-32,137,Australia,Banggarla,511
banggi,73,bgz,bdg,7.25,117.1666667,Papunesia,Banggi,2631
bangime,105,bgm,dba,14.91666667,-3.833333333,Africa,Bangime,2598
baniwa,553,bnw,bwi,2.666666667,-66.83333333,South America,Baniwa,861
bankon,274,bnk,abb,4.416666667,9.583333333,Africa,Bankon,1102
banoni,87,bnn,bcm,-6.416666667,155.25,Papunesia,Banoni,1587
bantik,524,bnt,bnq,1.416666667,124.75,Papunesia,Bantik,645
baoan,20,bao,peh,35.75,102.8333333,Eurasia,Bao'an,1159
baragaunle,389,brl,loy,28.83333333,83.83333333,Eurasia,Baragaunle,30
barai,439,baa,"bbb, nvm",-9.333333333,148.0833333,Papunesia,Barai,2017
barambu,287,bbu,brm,3.5,27,Africa,Barambu,1345
barasano,452,brs,bsn,-0.166666667,-70.66666667,South America,Barasano,2436
bardi,46,brd,bcj,-16.58333333,122.9166667,Australia,Bardi,1215
bare,549,bae,bae,1,-67,South America,Barí©,2145
bari,320,bar,bfa,5,31.66666667,Africa,Bari,2146
bari.south.america,128,mti,mot,9,-73,South America,Barí_,405
bariba,290,brb,bba,10,2.5,Africa,Bariba,1160
barupu,394,brp,wra,-3.083333333,142.0833333,Papunesia,Barupu,2648
baruya,449,bry,byr,-6.916666667,145.9166667,Papunesia,Baruya,1347
basaa,274,bas,bas,3.916666667,10.5,Africa,Basaíç,1295
basari,276,bsr,bsc,12.66666667,-13,Africa,Basari,1019
bashkir,19,bsk,bak,53,58,Eurasia,Bashkir,2266
basque,107,bsq,eus,43,-3,Eurasia,Basque,2533
basquebasaburuaandimoz,107,bqi,eus,43,-1.666666667,Eurasia,Basque (Basaburua and Imoz),646
basquebidasoavalley,107,bqb,eus,43,-3.833333333,Eurasia,Basque (Bidasoa Valley),647
basquegernica,107,bqg,eus,43.33333333,-3,Eurasia,Basque (Gernica),648
basquehondarribia,107,bqh,eus,42.5,-3,Eurasia,Basque (Hondarribia),649
basquelekeitio,107,bql,eus,43,-2.5,Eurasia,Basque (Lekeitio),650
basquenorthernhighnavarrese,107,bqn,eus,43.33333333,-2.5,Eurasia,Basque (Northern High Navarrese),651
basqueonati,107,bqo,eus,42.5,-3.5,Eurasia,Basque (Oí±ati),652
basqueroncalese,107,bqr,eus,43,-2,Eurasia,Basque (Roncalese),653
basquesakana,107,bqs,eus,42.5,-2,Eurasia,Basque (Sakana),654
basquesouletin,107,bso,eus,43.5,-1.5,Eurasia,Basque (Souletin),655
basquezeberio,107,bqz,eus,42,-3,Eurasia,Basque (Zeberio),656
batak,513,bat,bya,10.25,119.0833333,Papunesia,Batak,31
batakkaro,521,bkr,btx,3.25,98.25,Papunesia,Batak (Karo),2418
bataktoba,521,bto,bbc,2.5,99,Papunesia,Batak (Toba),2201
bathari,10,bth,bhm,18,56,Eurasia,Bathari,32
bau,437,bau,bbd,-5.25,145.6166667,Papunesia,Bau,282
baule,275,ble,bci,7,-5,Africa,Baule,1383
baure,535,baq,brg,-13.08333333,-64.16666667,South America,Baure,1635
bauzi,153,bzi,bvz,-2.5,137.5,Papunesia,Bauzi,1538
bawm,386,baw,bgr,22.5,92.25,Eurasia,Bawm,2393
bayso,545,bys,bsw,6.25,37.75,Africa,Bayso,512
bayungu,559,bxj,bxj,-23,114,Australia,Bayungu,2559
beembe,274,bee,beq,-3.916666667,14.08333333,Africa,Beembe,1216
begakidaan,518,beg,dbj,5.25,118.8333333,Papunesia,Begak-Ida'an,657
beja,3,bej,bej,18,36,Africa,Beja,2401
belhare,512,bel,byw,26.96666667,87.3,Eurasia,Belhare,2037
bellacoola,363,bco,blc,52.5,-126.6666667,North America,Bella Coola,2131
belarusian,185,blr,bel,54,28,Eurasia,Belorussian,1747
bemba,274,bem,bmy,-10,28.25,Africa,Bemba,1296
benabena,430,beb,bef,-6.166666667,145.5,Papunesia,Benabena,283
benalulua,274,blu,lua,-6,21,Africa,Bena-Lulua,862
beng,273,bnq,nhb,7.833333333,-4.25,Africa,Beng,284
benga,274,bga,bng,1.166666667,9.416666667,Africa,Benga,513
bengali,182,ben,ben,24,90,Eurasia,Bengali,2147
bengalichittagong,182,bec,ctg,22.33333333,91.83333333,Eurasia,Bengali (Chittagong),285
beothuk,108,beo,bue,48,-57,North America,Beothuk,286
