oldLab,newLab,newLab2,featureName,longFeatureName,Category,Complexity
1,Little or no inflectional morphology,none,DRYPRE,Prefixing vs. Suffixing in Inflectional Morphology,morphology,
2,Predominantly suffixing,suffix,DRYPRE,Prefixing vs. Suffixing in Inflectional Morphology,morphology,
3,Moderate preference for suffixing,suffix,DRYPRE,Prefixing vs. Suffixing in Inflectional Morphology,morphology,
4,Approximately equal amounts of suffixing and prefixing,equal,DRYPRE,Prefixing vs. Suffixing in Inflectional Morphology,morphology,
5,Moderate preference for prefixing,prefix,DRYPRE,Prefixing vs. Suffixing in Inflectional Morphology,morphology,
6,Predominantly prefixing,prefix,DRYPRE,Prefixing vs. Suffixing in Inflectional Morphology,morphology,
1,full and partial,some,RUBRED,Reduplication,morphology,
2,full only,some,RUBRED,Reduplication,morphology,
3,none,none,RUBRED,Reduplication,morphology,
1,plural prefix,some,DRYNPL,Coding of Nominal Plurality,nominal categories,
2,plural suffix,some,DRYNPL,Coding of Nominal Plurality,nominal categories,
5,plural reduplication,some,DRYNPL,Coding of Nominal Plurality,nominal categories,
6,morphological,some,DRYNPL,Coding of Nominal Plurality,nominal categories,
7,word,some,DRYNPL,Coding of Nominal Plurality,nominal categories,
8,clitic,some,DRYNPL,Coding of Nominal Plurality,nominal categories,
9,none,none,DRYNPL,Coding of Nominal Plurality,nominal categories,
1,none,none,HASNPL,Occurrence of Nominal Plurality,nominal categories,
2,human nouns optional,some,HASNPL,Occurrence of Nominal Plurality,nominal categories,
4,"plural in all nouns, always optional",some,HASNPL,Occurrence of Nominal Plurality,nominal categories,
5,"plural all nouns, optional for inanimates",some,HASNPL,Occurrence of Nominal Plurality,nominal categories,
6,"plural all nouns, obligatory",some,HASNPL,Occurrence of Nominal Plurality,nominal categories,
1,none,none,DIEDDD,Distance Contrasts in Demonstratives,nominal categories,
2,2-way,some,DIEDDD,Distance Contrasts in Demonstratives,nominal categories,
3,3-way,some,DIEDDD,Distance Contrasts in Demonstratives,nominal categories,
4,4-way,some,DIEDDD,Distance Contrasts in Demonstratives,nominal categories,
1,3 + 1 or 2,some,SIEGEN,Gender Distinctions in Independent Personal Pronouns,nominal categories,
2,3sp,some,SIEGEN,Gender Distinctions in Independent Personal Pronouns,nominal categories,
3,3s,some,SIEGEN,Gender Distinctions in Independent Personal Pronouns,nominal categories,
6,none,none,SIEGEN,Gender Distinctions in Independent Personal Pronouns,nominal categories,
1,No morphological case-marking,none,IGGCMA,Asymmetrical Case-Marking,nominal categories,
2,Symmetrical case-marking,none,IGGCMA,Asymmetrical Case-Marking,nominal categories,
3,Additive-quantitatively asymmetrical case-marking,some,IGGCMA,Asymmetrical Case-Marking,nominal categories,
4,Subtractive-quantitatively asymmetrical case-marking,some,IGGCMA,Asymmetrical Case-Marking,nominal categories,
6,Syncretism in relevant NP-types,some,IGGCMA,Asymmetrical Case-Marking,nominal categories,
1,suffixes,some,DRYCAS,Position of Case Affixes,nominal categories,
2,prefixes,some,DRYCAS,Position of Case Affixes,nominal categories,
5,mixed,some,DRYCAS,Position of Case Affixes,nominal categories,
6,post clitic,some,DRYCAS,Position of Case Affixes,nominal categories,
7,pre clitic,some,DRYCAS,Position of Case Affixes,nominal categories,
9,none,none,DRYCAS,Position of Case Affixes,nominal categories,
1,absen,none,GILCLF,Numeral Classifiers,nominal categories,
2,optional,some,GILCLF,Numeral Classifiers,nominal categories,
3,obligatory,some,GILCLF,Numeral Classifiers,nominal categories,
1,same,same,HASCON,Nominal and Verbal Conjunction,nominal syntax,
2,different,different,HASCON,Nominal and Verbal Conjunction,nominal syntax,
1,verbal construction,verbal construction,AUWEPI,Epistemic Possibility,verbal categories,
2,affix,affix,AUWEPI,Epistemic Possibility,verbal categories,
3,other,other,AUWEPI,Epistemic Possibility,verbal categories,
1,none,none,HAAEVC,Coding of Evidentiality,verbal categories,
2,affix,some,HAAEVC,Coding of Evidentiality,verbal categories,
3,tense,some,HAAEVC,Coding of Evidentiality,verbal categories,
4,separate particle,some,HAAEVC,Coding of Evidentiality,verbal categories,
5,modal morpheme,some,HAAEVC,Coding of Evidentiality,verbal categories,
6,mixed,some,HAAEVC,Coding of Evidentiality,verbal categories,
1,tense,some,VESTAM,Suppletion According to Tense and Aspect,verbal categories,
3,tense and aspect,some,VESTAM,Suppletion According to Tense and Aspect,verbal categories,
4,none,none,VESTAM,Suppletion According to Tense and Aspect,verbal categories,
1,SOV,some,DRYSOV,"Order of Subject, Object and Verb",word order,
2,SVO,some,DRYSOV,"Order of Subject, Object and Verb",word order,
3,VSO,some,DRYSOV,"Order of Subject, Object and Verb",word order,
7,none,none,DRYSOV,"Order of Subject, Object and Verb",word order,
1,affix,affix,DRYNEG,Negative Morphemes,simple clauses,
2,particle,particle,DRYNEG,Negative Morphemes,simple clauses,
3,auxilliary verb,auxilliary verb,DRYNEG,Negative Morphemes,simple clauses,
4,word,word,DRYNEG,Negative Morphemes,simple clauses,
1,relative pronoun,relative pronoun,KUTRSJ,Relativization on Subjects,complex sentences,
2,non-reduction,non-reduction,KUTRSJ,Relativization on Subjects,complex sentences,
3,pronoun-reduction,pronoun-reduction,KUTRSJ,Relativization on Subjects,complex sentences,
4,gap,gap,KUTRSJ,Relativization on Subjects,complex sentences,
1,relative pronoun,some,KUTROB,Relativization on Obliques,complex sentences,
2,non-reduction,some,KUTROB,Relativization on Obliques,complex sentences,
3,pronoun-reduction,some,KUTROB,Relativization on Obliques,complex sentences,
4,gap,some,KUTROB,Relativization on Obliques,complex sentences,
5,none,none,KUTROB,Relativization on Obliques,complex sentences,
1,same,same,BROHAN,Hand and Arm,semantic lexicon,
2,different,different,BROHAN,Hand and Arm,semantic lexicon,
1,decimal,decimal,COMNUM,Numeral Bases,semantic lexicon,
2,Hybrid vigesimal-decimal,Hybrid vigesimal-decimal,COMNUM,Numeral Bases,semantic lexicon,
3,Pure vigesimal,Pure vigesimal,COMNUM,Numeral Bases,semantic lexicon,
1,none,none,STOORD,Ordinal Numerals,nominal categories,
4,One-th,some,STOORD,Ordinal Numerals,nominal categories,
5,First/One-th,some,STOORD,Ordinal Numerals,nominal categories,
6,Two-th,some,STOORD,Ordinal Numerals,nominal categories,
7,Second,some,STOORD,Ordinal Numerals,nominal categories,
8,other,some,STOORD,Ordinal Numerals,nominal categories,
1,none,none,HELPOL,Politeness Distinctions in Pronouns,nominal categories,
2,binary,some,HELPOL,Politeness Distinctions in Pronouns,nominal categories,
3,multiple,some,HELPOL,Politeness Distinctions in Pronouns,nominal categories,
4,avoided,some,HELPOL,Politeness Distinctions in Pronouns,nominal categories,
1,netural,neutral,COMALN,Alignment of Case Marking of Full Noun Phrases,simple clauses,
2,Nominative - accusative (standard),Nominative,COMALN,Alignment of Case Marking of Full Noun Phrases,simple clauses,
3,Nominative - accusative (marked nominative),Nominative,COMALN,Alignment of Case Marking of Full Noun Phrases,simple clauses,
5,Tripartite,Tripartite,COMALN,Alignment of Case Marking of Full Noun Phrases,simple clauses,
6,Active - inactive,Active - inactive,COMALN,Alignment of Case Marking of Full Noun Phrases,simple clauses,
1,netural,neutral,COMALP,Alignment of Case Marking of Pronouns,simple clauses,
2, Nominative - accusative (standard),Nominative,COMALP,Alignment of Case Marking of Pronouns,simple clauses,
3,Nominative - accusative (marked nominative),Nominative,COMALP,Alignment of Case Marking of Pronouns,simple clauses,
5,Tripartite,Tripartite,COMALP,Alignment of Case Marking of Pronouns,simple clauses,
6,Active - inactive,Active - inactive,COMALP,Alignment of Case Marking of Pronouns,simple clauses,
1,none,none,SIEALI,Alignment of Verbal Person Marking,simple clauses,
2,accusative,some,SIEALI,Alignment of Verbal Person Marking,simple clauses,
3,ergative,some,SIEALI,Alignment of Verbal Person Marking,simple clauses,
1,not both,not both,SIEVPA,Order of Person Markers on the Verb,simple clauses,
2,A precedes P,A precedes P,SIEVPA,Order of Person Markers on the Verb,simple clauses,
3,P precedes A,P precedes A,SIEVPA,Order of Person Markers on the Verb,simple clauses,
5,A and P are fused,A and P are fused,SIEVPA,Order of Person Markers on the Verb,simple clauses,
1,none,none,SIEZER,Third Person Zero of Verbal Person Marking,simple clauses,
2,no zero,no zero,SIEZER,Third Person Zero of Verbal Person Marking,simple clauses,
4,zero,zero,SIEZER,Third Person Zero of Verbal Person Marking,simple clauses,
1,subject,subject,DRYPRO,Expression of Pronominal Subjects,simple clauses,
2,affix,affix,DRYPRO,Expression of Pronominal Subjects,simple clauses,
3,clitics,clitics,DRYPRO,Expression of Pronominal Subjects,simple clauses,
4,other,other,DRYPRO,Expression of Pronominal Subjects,simple clauses,
5,pronouns,pronouns,DRYPRO,Expression of Pronominal Subjects,simple clauses,
6,combo,combo,DRYPRO,Expression of Pronominal Subjects,simple clauses,
1,some,some,AUWIMP,The Morphological Imperative,verbal categories,
2,some,some,AUWIMP,The Morphological Imperative,verbal categories,
3,some,some,AUWIMP,The Morphological Imperative,verbal categories,
4,some,some,AUWIMP,The Morphological Imperative,verbal categories,
5,none,none,AUWIMP,The Morphological Imperative,verbal categories,
1,AdjN,AdjN,DRYADJ,Order of Adjective and Noun,word order,
2,Nadj,Nadj,DRYADJ,Order of Adjective and Noun,word order,
1,DegAdj,DegAdj,DRYDEG,Order of Degree Word and Adjective,word order,
2,AdjDeg,AdjDeg,DRYDEG,Order of Degree Word and Adjective,word order,
