ID,Name,Feature Class,Description,,,include
67,DAHFUT,Verbal Categories,The Future Tense,,,1
68,DAHPFC,Verbal Categories,The Perfect,,,1
69,DRYTAA,Verbal Categories,Position of Tense-Aspect Affixes,,,1
70,AUWIMP,Verbal Categories,The Morphological Imperative,,,1
71,AUWPRH,Verbal Categories,The Prohibitive,,,1
72,AUWHOR,Verbal Categories,Imperative-Hortative Systems,,,1
73,DOBOPT,Verbal Categories,The Optative,,,1
74,AUWSIT,Verbal Categories,Situational Possibility,,,1
75,AUWEPI,Verbal Categories,Epistemic Possibility,,,1
76,AUWSEM,Verbal Categories,Overlap between Situational and Epistemic Modal Marking,,,1
77,HAAEVD,Verbal Categories,Semantic Distinctions of Evidentiality,,,1
78,HAAEVC,Verbal Categories,Coding of Evidentiality,,,1
79,VESTAM,Verbal Categories,Suppletion According to Tense and Aspect,,,1
81,DRYSOV,Word Order,"Order of Subject, Object and Verb",,,1
82,DRYSBV,Word Order,Order of Subject and Verb,,,1
83,DRYOBV,Word Order,Order of Object and Verb,,,1
84,DRYXOV,Word Order,"Order of Object, Oblique, and Verb",,,1
85,DRYADP,Word Order,Order of Adposition and Noun Phrase,,,1
86,DRYGEN,Word Order,Order of Genitive and Noun,,,1
87,DRYADJ,Word Order,Order of Adjective and Noun,,,1
88,DRYDEM,Word Order,Order of Demonstrative and Noun,,,1
89,DRYNUM,Word Order,Order of Numeral and Noun,,,1
90,DRYREL,Word Order,Order of Relative Clause and Noun,,,1
91,DRYDEG,Word Order,Order of Degree Word and Adjective,,,1
92,DRYPQP,Word Order,Position of Polar Question Particles,,,1
101,DRYPRO,Simple Clauses,Expression of Pronominal Subjects,,,1
106,MASREC,Simple Clauses,Reciprocal Constructions,,,1
107,SIEPAS,Simple Clauses,Passive Constructions,,,1
108,POLANT,Simple Clauses,Antipassive Constructions,,,1
109,POLAPP,Simple Clauses,Applicative Constructions,,,1
110,SONPER,Simple Clauses,Periphrastic Causative Constructions,,,1
111,SONNON,Simple Clauses,Nonperiphrastic Causative Constructions,,,1
112,DRYNEG,Simple Clauses,Negative Morphemes,,,1
129,BROHAN,Semantic Lexicon,Hand and Arm,,,1
130,BROFIN,Semantic Lexicon,Finger and Hand,,,1
131,COMNUM,Semantic Lexicon,Numeral Bases,,,1
132,KAYNDC,Semantic Lexicon,Number of Non-Derived Basic Colour Categories,,,1
133,KAYBCC,Semantic Lexicon,Number of Basic Colour Categories,,,1
134,KAYGRE,Semantic Lexicon,Green and Blue,,,1
135,KAYRED,Semantic Lexicon,Red and Yellow,,,1
136,NICMTP,Semantic Lexicon,M-T Pronouns,,,1
137,NICNMP,Semantic Lexicon,N-M Pronouns,,,1
138,DAHTEA,Semantic Lexicon,Tea,,,1
